-24.8 1.2 -13.1,-15.0 3.7 -8.0,-17.0 6.3 0.3,33.3 1.0 14.3,17.7 1.6 8.5,1.9 43.3 -42.4,27.4 116.3 42.8,16.3 12.4 6.3,3.6 -36.9 39.4,28.4 -110.5 -40.1
-14.099783813417538 3.687617972800212 -10.775928615836154,-7.55451167775058 4.891561877825006 -4.676210967691606,-7.9974791808775105 5.0887113454203785 -6.24165122071669,18.397056812607385 -4.57049942724202 17.055080068997338,16.98530176350765 0.07521003096523414 7.689796555080416,-1.3338053939109926 48.780602295537975 -38.04838885516592,27.728489322341993 114.52371392031289 41.99309844665648,15.623911245108534 11.19738174336232 6.923289586880849,-4.150429405806029 -35.4380050980182 42.37519890701016,29.315784966005776 -103.91516915932053 -36.954292978960005
-14.720122657761474 2.437307181992361 -10.457454794302768,-7.605509577056653 3.622081305376588 -4.434078090543863,-8.324161654708224 4.868779753641268 -5.306779577798633,18.78774749112128 -3.516483556341093 16.79102410355666,16.926849096750836 -0.034517295659686434 7.105912200437363,-1.001509253765337 49.107572672221785 -38.863934754612075,27.771472574945648 114.3286059646999 41.87188306159515,15.707632758255526 11.02780647352578 6.038181274133835,-3.8380907811666574 -34.876153938474154 42.51529401256556,29.435722172554474 -102.64508779488783 -36.322399528568376
-15.40500472932058 0.9646913898378052 -10.157373327770104,-7.855768051043171 2.304086301741813 -4.155252635803966,-8.907526147331065 4.674096259139899 -4.360863304487147,19.673180482571734 -2.4421844682841956 16.43898425238118,16.762871852900613 -0.10722109221966461 6.513342950752976,-0.9081075890472177 49.44402174008328 -39.73239522400761,27.803026109467616 114.18482638456157 41.79340289622661,15.68314498722037 10.879364190773563 5.044095831158407,-3.297081785019402 -34.70958358852194 42.47586655438362,29.504582402744287 -101.96142980864673 -35.98006813683913
-16.045560926925575 -0.5328442911985821 -9.916811926598847,-8.328898253150614 1.1552593246022405 -3.849797275362123,-9.6697173630731 4.532899681140887 -3.5554673985150202,20.94512833402106 -1.5282388844168957 16.02521138521144,16.460389366111663 -0.1276452673002062 6.006483655426816,-1.1331418528818697 49.65217985180753 -40.523018855429044,27.797107557255117 114.19352403625227 41.81825510365966,15.498686146333451 10.76435181130413 4.0598788027927775,-2.510691246794811 -35.10991455445817 42.187845738589715,29.476406644042857 -102.31522469288929 -36.147102315914864
-16.54634361368949 -1.7125249186593656 -9.730722358846608,-8.825913875783588 0.3073812094977041 -3.518869330851639,-10.254641215714937 4.388869968512637 -2.9732873071520114,21.891419963382322 -0.8525906969225695 15.720782534598941,16.232929364039034 -0.14318155879649724 5.5939291540721605,-1.5076298372138255 49.78279578274251 -41.06659900012928,27.730412170042964 114.48547479529906 41.98923711219996,15.3662566115589 10.672922205823856 3.2465570153886105,-1.7367085207859343 -36.075594144056645 41.82234540911559,29.361431484816897 -103.46856084011657 -36.70568713842469
-16.814046687439202 -2.208961769084386 -9.58682615409464,-9.113052550159962 -0.12127506737787082 -3.1622484125868695,-10.262798414472444 4.1724786260362805 -2.68618309920554,21.705643614452143 -0.477061096305937 15.719371499643357,16.33251914994422 -0.21101015966022557 5.270839299089854,-1.8237373025226509 49.91611923567299 -41.18798695872779,27.580081727694047 115.1960015151743 42.346322384984866,15.539057818159664 10.59176514024061 2.771699630675221,-1.2758028743579284 -37.577882249129885 41.588014836189906,29.178692014029036 -105.075698400405 -37.4851660379512
-16.804761326553763 -1.8456756201238933 -9.473304054289551,-9.055717715229337 -0.08261815171378437 -2.800470168944813,-9.497419468953934 3.854417288979974 -2.702592881159183,19.989769158925814 -0.4111993160292591 16.113970233550862,16.886441588649877 -0.361739913134 5.03272674383005,-1.952695349145303 50.10907078613041 -40.810587188593395,27.345360349551665 116.34617595471195 42.88399223986816,16.145232963946462 10.513009237108605 2.725163942806408,-1.3003068539898608 -39.50070118223837 41.60104921961008,28.945899110495045 -106.8550767336738 -38.346380509861184
-16.620259268645317 -1.0033118817675557 -9.379691092817596,-8.811768794677096 0.264466371796296 -2.5152831571635903,-8.359617816010529 3.5239932539656595 -2.843913148385262,17.550149852922715 -0.5103961450204425 16.700643663375125,17.654088046705184 -0.5476164602370527 4.876144608628518,-1.9989115356694795 50.34976964514415 -40.14845332512536,27.090675524162176 117.6201249402746 43.46256431015377,16.94410830447962 10.444823185742221 2.9676223960637897,-1.604067286707656 -41.470400627545445 41.70498177184892,28.67685834341491 -108.71441005620076 -39.243064921440464
-16.38903631037479 -0.1647165022962 -9.29577073816572,-8.59271417569064 0.7231244759375358 -2.399665005810854,-7.3601842491428435 3.292273014276925 -2.8972289473830766,15.414074490235752 -0.6017631055962962 17.220987572024136,18.327362820488972 -0.7065102717222779 4.797836880065002,-2.109567978056107 50.61371390437605 -39.46895652142784,26.892412164018925 118.64016515472342 43.917744858575716,17.627353259055326 10.398318111244814 3.317705109429598,-1.9115004950894354 -43.066080408513066 41.69332780945686,28.384658880806988 -110.59613370604133 -40.14599417446651
-16.239588248403113 0.187264570009384 -9.211326458820864,-8.610062245457367 1.0965021334951162 -2.5465933434542447,-7.009909561851462 3.270323063197349 -2.649625324651937,14.608831864657741 -0.5124117200736342 17.416597742405937,18.598170206380125 -0.7762918183425783 4.794547544719248,-2.4318467922661147 50.87640165548805 -39.039467930605,26.82695518161525 119.02861328091976 44.08524014786805,17.886637246969812 10.384605138719737 3.5940422018860767,-1.9470228017133344 -43.86684034860333 41.35960264898438,28.082389890689626 -112.44268302125104 -41.025943170716786
-16.300410879391205 -0.43021461313162 -9.116141723269976,-9.075321391164692 1.1877453172542134 -3.0490457986614166,-7.819584547636991 3.569209894010516 -1.8881873266911358,16.161710769981553 -0.06945351076926065 17.029069957428547,18.15841450075751 -0.6948315708508519 4.863020589170999,-3.1129300942604425 51.113330990142074 -39.127358705761004,26.9706894894445 118.40778600172487 43.80075644076479,17.413629687519297 10.414795393270348 3.6152637924154645,-1.4350505291574749 -43.451780271278295 40.49732160698193,27.78314054108118 -114.19649333988545 -41.8536868119688
-16.7 -2.5 -9.0,-10.2 0.8 -4.0,-10.3 4.3 -0.4,21.1 0.9 15.8,16.7 -0.4 5.0,-4.3 51.3 -40.0,27.4 116.4 42.9,15.9 10.5 3.2,-0.1 -41.4 38.9,27.5 -115.8 -42.6
