-16.5 -9.4 -5.5,-8.2 -6.1 1.1,-10.9 1.6 1.6,22.8 4.1 12.4,14.2 -1.7 0.9,-1.3 35.2 -43.0,25.5 124.6 46.5,14.5 8.5 -3.8,4.2 -37.4 35.7,25.1 -125.9 -47.1
-20.19347339690297 -0.19101256582669332 -10.451907390741741,-14.099428217126988 4.4617779751334306 -5.844330793582444,-10.458895557674367 5.331322240173952 -1.5529643438693217,21.35596436703752 -0.8349160756427187 14.47290384359848,17.28031974834828 0.34682012618648944 6.779719894313541,0.15210479236417807 43.54454382320192 -41.62387619394604,27.282120438885737 116.75271315702415 43.056004812908036,16.208413425947086 11.23606337456215 4.735712347457851,3.658247531191964 -43.898227762256695 36.080682137042295,28.10982329663198 -112.53210706878892 -41.044325022124156
-19.543200753391964 1.1946898124740362 -10.54183453042934,-13.933870574715153 5.7687416579852275 -5.91119559057135,-9.630258845915732 5.510908046202974 -1.7826705231418385,20.4947899077555 -1.1462053626988715 14.861958249874887,17.36002004678591 0.2937940309725296 7.480288902732523,-0.5281868262468205 47.13358550423937 -40.7711953029199,26.940590006817768 118.38231277927463 43.83328213649942,16.14219316489444 11.19833421411708 5.500625592425636,3.294255692819474 -43.82856737867064 37.082453633385875,28.20327662838613 -111.98319273292283 -40.79439646834455
-18.66347568703552 1.4824981477903139 -10.893365203437778,-13.397328512852004 5.865635747273474 -5.933074427427142,-9.948196250058405 5.368565322122587 -2.3714654562161455,21.554293841256637 -1.2034178180588302 15.041479145232628,16.810210867669284 0.29830429498271654 7.420007937868393,-1.0118831656260088 48.130769364325865 -40.476551354375545,26.723534627301778 119.39832964853456 44.30033932115592,15.59434370674184 11.225345013956812 5.552644879607692,2.6463345452750864 -42.03926434470934 37.762542510724245,28.097287506996587 -112.60850448118096 -41.10132998421246
-17.774860544006092 1.0220318626119942 -11.301170109283897,-12.677834753914093 5.176169821582335 -5.86467987930245,-10.834329438556754 4.997112597496738 -2.9746582178539165,23.46785714121962 -0.9882545787499448 15.034526711486485,15.9883623324902 0.316989727110127 6.87437506185668,-1.2366985826407537 47.15967126679097 -40.60140033391875,26.56110782554539 120.11814789892273 44.61108273829889,14.873737535324759 11.247835079375403 5.059360461599316,2.088717642979005 -39.58116439087003 38.12123576361013,27.824693579333285 -114.11965757901338 -41.81847054025384
-17.125433148347543 0.28801942114225576 -11.508841470316609,-12.009863790524639 4.268614824434023 -5.6571275314052745,-11.576793124603354 4.526283749438753 -3.1928460628491417,24.94902342086416 -0.5096935575640331 14.864066054699935,15.32526049337956 0.29071947793372205 6.20268141390788,-1.169406522297284 45.1639104370436 -40.96410337338012,26.36391762263268 120.95161115694758 44.965069968548164,14.345629542930439 11.18045122652539 4.2689539838603405,2.0426695663254386 -37.696144250921904 38.19402925362412,27.434241578265205 -116.12496281875951 -42.74922917384967
-16.873020145254166 -0.39474545184659715 -11.366435072505084,-11.56203072931031 3.5262402503221955 -5.303442123904421,-11.707735599670945 4.080615559436415 -2.816172377052986,25.17623225706384 0.16522693528076138 14.560652495390196,15.076064661520418 0.19173269171591728 5.669911214805921,-0.834829115529862 43.001546838445215 -41.43758504460401,26.097749511978783 122.06770877424049 45.450486359457564,14.21586021858424 10.986644742566236 3.403364582391484,2.6942492763586343 -37.12046233490347 38.026198569908914,26.99149483420357 -118.22118957297292 -43.70023066155522
-16.945973151436377 -1.0826970558607174 -10.9947037675595,-11.335494864462513 2.8619260284568497 -4.90320772008169,-11.379740517296769 3.7714305365223937 -2.1167255400306777,24.50997996945577 0.8218426912344027 14.174140433600822,15.049380962915725 0.07203068630852395 5.301261426397778,-0.4053846136401557 41.3130951973232 -42.03350436158752,25.868684683921906 123.02302766855429 45.872339280399366,14.284938783669798 10.753958450271764 2.6178064962736483,3.6314757208190063 -37.30477856296038 37.687885494929695,26.604775002150916 -119.97576169575657 -44.486271117940234
-17.236713399595065 -1.8919085530943627 -10.556760016234097,-11.30518561572163 2.114959691983527 -4.572663153974301,-10.842520144030946 3.7079287918591457 -1.4419835723670493,23.495786142512234 1.2224516763467663 13.757403983246295,14.983964406522947 -0.003916154637460006 5.084369380042925,-0.07654721969429094 40.70473079487635 -42.785201616395355,25.80472332589446 123.27846954184731 45.9913856624868,14.28998008331538 10.589335008563584 2.056996163051309,4.3488575076148255 -37.49864017376981 37.25311718463461,26.389055379721118 -120.95168272682548 -44.92350158051899
-17.641012637797292 -2.867918628137601 -10.180589784732785,-11.43579875579857 1.2052120131489483 -4.3894549883597085,-10.315738919409844 3.933435190331726 -1.0437350356473398,22.588880524016435 1.2267482441600541 13.360475447526985,14.710028363238003 0.002665160194092066 4.9923016593203275,0.025385401986783566 41.44281503207998 -43.67288995053053,25.97237365212017 122.55473154365345 45.68218392390738,14.061877233338514 10.56078696796963 1.8043943496990023,4.508928349896264 -37.19543655831447 36.785544055456405,26.405061979130537 -120.92847063135646 -44.92142524803933
-18.064523825116133 -3.8482483980600777 -9.890585333031344,-11.661849379326762 0.2902067524988306 -4.317414944462357,-9.93044538763776 4.2969978550687475 -0.8915648206485537,21.97821354930989 0.9816644268609943 13.025006170824494,14.327511686104668 0.05476186135823602 4.955153359067439,-0.021871626433438877 42.79154328876963 -44.520101957138486,26.256794115353145 121.33868956180838 45.15491144999039,13.708090617333513 10.621515701187871 1.7628089563720588,4.269755136389314 -36.60768700127501 36.31821384289642,26.55353680567757 -120.32417938765707 -44.66485592141379
-18.414712558273706 -4.632259641534656 -9.692135394918562,-11.912316150908602 -0.4289365845539577 -4.29949622297998,-9.801432139262722 4.612026227237141 -0.9032895684775615,21.80388861397378 0.6868239591225266 12.791110070429689,13.985832443168576 0.10145882238793441 4.8951367611466114,-0.1031784928985927 43.83127073942587 -45.121628300804296,26.509875848675485 120.2577695064163 44.68131253068848,13.38681491064877 10.703661289609162 1.8019084039045834,3.8803067808700975 -36.07983003478765 35.87856043901272,26.705873940200135 -119.67399784919952 -44.38911116696973
-18.599044433992127 -5.019314137234243 -9.59062870418322,-12.116177735146486 -0.7510984925965893 -4.278652024610308,-10.043491764832737 4.691929748003855 -0.9967259202412269,22.2060091135893 0.5418505756175814 12.698901063633425,13.83440870247535 0.09184091681615236 4.734464147420194,-0.10339538535231446 43.642352558529275 -45.272259646113085,26.58350998516932 119.93939728758139 44.53313145595432,13.256244788632674 10.739363814624372 1.7913611131306797,3.5895521971147275 -35.956304190988554 35.494017735863366,26.733467463536122 -119.51311486945599 -44.32950855103449
-18.52498504899352 -4.808773663831726 -9.591453994614104,-12.202412796642822 -0.475159466216215 -4.19783555005107,-10.771416854895833 4.350117858535825 -1.0896905170464186,23.324678443737653 0.7463680110190966 12.788493067726577,14.022658532070619 -0.025006981824148233 4.395347799750537,0.09261750826176346 41.30514392056044 -44.766786657649945,26.32958765791679 121.01099881540793 44.98211251574061,13.474574926633625 10.660763357624365 1.600835504884449,3.646460298899323 -36.581548002013946 35.19201962550644,26.50771145652344 -120.37671930189877 -44.72136563993547
-18.1 -3.8 -9.7,-12.1 0.6 -4.0,-12.1 3.4 -1.1,25.3 1.5 13.1,14.7 -0.3 3.8,0.6 35.9 -43.4,25.6 124.1 46.3,14.2 10.4 1.1,4.3 -38.3 35.0,25.9 -122.8 -45.8
