5.7 80.9 0.2,-8.4 40.2 -14.1,37.0 -11.6 12.6,-63.0 87.9 -59.7,-18.7 -2.7 9.0,83.4 124.3 68.9,28.7 109.0 39.4,-18.5 4.3 -12.8,8.4 -44.2 51.6,13.9 -25.4 -3.2
5.301957873491463 84.3064165262983 2.060108345390058,-7.569425196070774 44.90356413757373 -14.027074897650104,36.18820611780358 -14.331319655555813 9.826476604868425,-63.9946599816931 83.88331530224895 -58.0037735644149,-19.364697417585727 -2.0391387696908874 6.664045283463013,84.16203951194626 126.55238382295249 75.297380664106,28.629508605064377 109.84101626055515 39.82710113934325,-18.854486824886493 4.84985284058795 -15.550818739630197,10.124997703189491 -47.54899049257123 51.605911133488334,13.262834697737706 -24.001673424266563 -2.865972947045035
4.832565330759611 84.80015714752228 2.6081260035952756,-7.410489991484482 46.167601418843766 -13.81344992120289,35.8340824868024 -15.347158320489127 9.266057389644715,-63.50634561425805 81.98872509814714 -56.15816872079733,-19.940837281818386 -1.786388163718985 5.7896423864159665,83.86921672747117 129.0063243194284 78.99950282166027,28.72564173058965 109.04405162753278 39.45865452697013,-19.288419531614508 5.053846656319501 -16.627735919608448,11.282018774253299 -48.034940269457785 51.545405460010414,13.112060776871148 -23.62205489649783 -2.767584793226039
4.456277034831053 82.55424971526914 1.6270239528881507,-7.931475524970281 43.8739900878792 -13.562836416152846,35.95661317794107 -14.395511320044044 10.787242205556822,-62.14621261775738 82.46655370761817 -54.7401586432312,-20.074827407723557 -2.094490644469136 6.278062600600171,82.38054080839059 127.29370769721876 75.20959385688401,28.805439116028836 108.22070380784307 39.05973501261525,-19.50704668959001 4.96500445030162 -15.423238871239004,11.160529950860196 -45.204436261546945 51.62991418923511,13.502365027113425 -24.414982688799356 -2.9508171742525766
4.314781821715045 77.81730419532234 -0.924222020649663,-9.098652080889833 38.093034180702865 -13.359489033814272,36.57955095442697 -11.381599200926424 14.233042828256188,-60.34014455934348 85.52378634221418 -54.2715002378703,-19.55964093455271 -3.018391731987305 8.10861186999352,79.8003949975886 119.53736589994121 61.96990914532186,28.776386766313408 108.19347816132299 39.02081175196114,-19.331208458641346 4.598472168581852 -11.71126509003621,9.381708680348433 -39.096886178887026 51.94564359706131,14.431465303425831 -26.399588327162856 -3.425334080385003
4.388222433272021 72.95430444999411 -3.7007566249086628,-10.319055260422006 31.844042857866697 -13.259428214416337,37.34234170658759 -7.952420018119736 17.8515496949304,-58.83610401934415 89.35269910918265 -54.637409181925335,-18.767103282874537 -4.056162081336369 10.261284637081596,77.34745311540014 110.26479785351515 46.70641531423366,28.683360626979763 108.71255005858792 39.23748926228817,-18.940284496242086 4.160275392149255 -7.51767955469119,7.053814487697435 -32.794784979743454 52.31172197193975,15.419422200171619 -28.538408369540576 -3.9410887853130165
4.63143766672774 70.66072742573576 -5.141213232869624,-10.912376175829055 28.606971565516787 -13.314223888942644,37.82438367406874 -6.027108034487588 19.64177395491916,-58.43217152329682 91.83073489652597 -55.62341179562813,-18.159560270219842 -4.618856386903162 11.559970316425343,76.4143992160455 105.00481496156716 38.31179545508807,28.592739764061797 109.36021833983067 39.52789474310486,-18.569745945839117 3.8862532349593133 -5.220230726746574,5.517583638795459 -29.85597101863547 52.50551957626609,15.911681272047542 -29.628916967828264 -4.207460033884208
4.989698205829791 72.50994315831925 -4.304724970589174,-10.477025809900816 30.458509585519188 -13.539084692396553,37.76640580494818 -6.774812588974861 18.428212572534715,-59.53532504005643 91.63592527678513 -56.997092410240896,-18.049449165875245 -4.345489533901788 11.293410763172174,77.80626964996179 107.32597656761136 42.38198862873663,28.557866641124036 109.7655030865284 39.725835532400765,-18.391191054931223 3.918168645070019 -6.278014551923685,5.639710850907396 -32.391622772398215 52.38272236865832,15.5771608434479 -28.948967479174257 -4.0491292875434555
5.380056822191258 76.76604715585569 -2.0803789620281115,-9.433405063777618 35.33688761902556 -13.841983924685488,37.38492736537591 -9.15285633874343 15.469853516854489,-61.39911792606832 89.8073671681136 -58.47312153347871,-18.307102716410668 -3.5473678315147 10.121272764945237,80.59503276946646 115.0157420606157 54.790303243900794,28.59363667531451 109.69521286734414 39.71136222927693,-18.387846583811005 4.120338761676048 -9.440872321645143,6.888865744952951 -38.24648506716409 52.02998194581925,14.743836532994113 -27.193129130160145 -3.630824343226515
5.714389912800566 81.08607212856846 0.30704566606240774,-8.352703023592714 40.42116567163128 -14.111223328699868,36.98374796022344 -11.71281811926172 12.472274759819745,-63.06551602320055 87.81727807830539 -59.756463009707495,-18.721752748458478 -2.6591246533364536 8.954709505629555,83.53473796939097 124.80106929546828 69.62650049459464,28.707892447465277 108.9414325656885 39.373008429104125,-18.508383887618116 4.306185270124726 -12.961651893612169,8.477260213908531 -44.482655920120024 51.576318902641376,13.86058331705431 -25.315857564260817 -3.1796520716235492
5.904573874646166 83.12705078668111 1.632769786931333,-7.806108775479318 42.89040374893193 -14.235104647330129,36.866667194362286 -13.006276765998257 11.141054273371616,-63.57648517332119 87.13787551515438 -60.55208068329331,-19.08263108865105 -2.1153933729615653 8.704874169110116,85.37943464456701 133.4089161270576 80.9803415748328,28.908476538408394 107.29624706497216 38.599307727253176,-18.70147432149221 4.289129855763391 -15.093201125526122,9.617106150750605 -48.162233348453256 51.150753834017216,13.37627617199661 -24.271608424951104 -2.9227193434247045
5.862485104716496 80.54601584041711 0.6720142738275512,-8.364811405570677 39.923661856522976 -14.101929623466694,37.337484672663976 -11.584811114421507 13.181770029451327,-61.97399121829831 89.24137698645461 -60.564938398602145,-19.178969563620768 -2.350807363984573 10.282919939271945,84.88317218982615 137.56624041027212 82.94158767862982,29.203231528975955 104.55174124860575 37.27879371909486,-18.915789240572956 3.8825942039393677 -14.088367875088286,9.520615448455612 -46.34731536935086 50.88230733483925,13.739790074189138 -25.01483735570589 -3.0871330293201384
5.5 71.0 -3.8,-10.6 28.7 -13.6,38.7 -6.0 20.3,-57.3 95.6 -59.5,-18.8 -3.8 14.6,80.8 134.0 69.6,29.6 100.5 35.3,-19.1 2.9 -8.2,7.4 -36.1 50.9,15.4 -28.5 -3.9
