-22.3 -1.6 -7.6,-14.7 1.9 -1.7,-12.1 4.8 -2.5,26.1 -2.1 7.7,18.3 -0.8 5.4,2.1 46.1 -46.8,26.5 120.3 44.7,17.5 10.1 3.4,6.9 -39.4 36.0,27.0 -118.2 -43.7
-20.50425705659296 -7.1603284142148445 -11.057184145286717,-15.678815911851828 -1.976213010887371 -5.753834557901264,-13.646408159703059 3.295668728060379 -3.150515931064684,25.84166570595021 0.7101595505973567 15.861990587845204,14.342188106903615 0.27855465188022166 1.453392580564401,-2.2210209680960293 33.609061127085184 -41.01669380072347,27.603296037258115 115.0678622289788 42.28422746782543,14.171024052753353 11.668302207317646 1.2212853196766402,0.9582786634133182 -43.33077900454186 33.79192432241666,27.18418350338603 -117.07274140851487 -43.23523281844644
-19.827361804781315 -8.26205218970057 -10.543084931197997,-15.485204636996452 -3.191927622589454 -4.776408688320474,-13.011634910922167 2.7940785910052184 -3.7444720152898547,24.294807994352087 0.3568172109543889 14.873740972785999,13.779076577398644 0.05277342030323777 0.5312354051725996,-1.6300306830205147 30.415136026464786 -41.474005212835216,27.638279541328945 114.82478481477098 42.1617325988379,13.77364995874666 11.416416305950817 0.21958256321639433,1.8309997599626011 -42.12332842893939 33.823820956083814,27.1841623670203 -117.04986415757368 -43.220658448215154
-19.00486867426649 -9.319647214240451 -9.642534510908128,-15.187363793024298 -4.369244889840178 -3.629791011238163,-12.139015486332488 2.359521239974287 -4.459654083431488,22.40805163487565 -0.26569244854391294 13.726757967754564,13.103161588269831 -0.3487215545762816 -0.4117887695542439,-1.0160534574592173 27.53961677342246 -41.98926865070756,27.68118026765927 114.57604422334161 42.03596828227542,13.247393401978819 11.023062735659895 -0.69645156540261,2.4360673610687766 -40.434564120876395 34.003303236236185,27.278999647530508 -116.57608219079847 -42.98450953516932
-18.31298963515155 -9.551289494200272 -8.51926972954949,-14.847459356794905 -4.651701837980623 -2.68148283264617,-11.54779412405293 2.0672397084582457 -4.676654813718917,21.467349809250482 -0.6145074315730996 12.916736107096824,12.7954920429917 -0.8911895586643289 -0.9361944167411879,-0.8123303477663758 26.12125333205529 -41.79364436101185,27.700123346424736 114.5086546608445 42.005262930935096,12.994720142258451 10.515653804738976 -1.1162174915909455,2.182014948360627 -39.572435716921575 34.37009193774318,27.423730909502947 -115.89009859444516 -42.6459708558543
-17.95321075347786 -8.585761384294967 -7.346884759712918,-14.527758450701848 -3.632604769568398 -2.15718888869217,-11.552665539739793 1.9539668192008088 -4.061534682401751,22.18756063205987 -0.3735572114248312 12.695537687590141,13.105315006489878 -1.510965809419584 -0.8096882485200754,-1.2356271410382178 26.73849813658385 -40.573261541858,27.688687223018025 114.65601114660123 42.089589715482255,13.229260584845028 9.945540079108818 -0.8467960419200328,0.8777384052920137 -40.21144987554571 34.89644198607196,27.583574879156902 -115.16594054534367 -42.29278906470863
-17.93701804008935 -7.09586377377965 -6.3240372748555505,-14.290785372442027 -2.0488552178941757 -1.9220782159498035,-11.948231436505989 1.958518317066768 -3.0061921206121838,23.831460832680914 0.19658276441325637 12.695050725625055,13.69249207325449 -2.070842424748867 -0.3267894303754177,-1.9522938933828635 28.54517633916142 -39.17106545095147,27.70516861364977 114.66091250248354 42.10969370065329,13.684507380385966 9.424938170106303 -0.24874797412115174,-0.6498943788462221 -41.415504426672385 35.383067858015,27.749642258146928 -114.41318854664091 -41.932775417454714
-18.246123848455834 -5.917654821258398 -5.653238539491952,-14.199079036846655 -0.8161804921892245 -1.7849054783325182,-12.447703571628852 2.0043983529331926 -2.016068077224548,25.434662499680975 0.745114506148311 12.450214081979533,14.12471770058811 -2.422144340973793 0.1355867837864922,-2.5425902224389656 30.472242678286165 -38.6108375596366,27.817965358441036 114.10518911809255 41.85521871721336,14.018867293132594 9.07555717157405 0.2308205976314944,-1.4148957752788096 -41.99664161039791 35.60390123604339,27.91709157443775 -113.61572023142507 -41.56124499107557
-18.835141612293103 -5.610123030172315 -5.449008530510937,-14.283411719020986 -0.5434788253210807 -1.6055376488553208,-12.826829164910055 2.041200064168702 -1.453992908656119,26.298046672669933 1.0121721057321538 11.658830989880949,14.122855664776965 -2.4766285911996246 0.32007524837498946,-2.7083635266617714 31.710023569228735 -39.53549427300601,28.05461656744631 112.81131828371704 41.23411988421575,14.012146365445103 8.971525690655433 0.29722459042938715,-0.7813452865708578 -41.19635045181151 35.42998329498026,28.072967500476324 -112.81628728172643 -41.199225209425585
-19.57876567381539 -5.915133737272971 -5.566366704819999,-14.480870742419038 -0.9347599434628707 -1.3945801559779878,-13.045782616162082 2.09545722332319 -1.262215299024325,26.504815375389953 1.0060630519657712 10.499018023541206,13.859490804429992 -2.3242762232274807 0.3218833975266397,-2.510043209573696 32.213774397013744 -41.464719396631274,28.322162356056538 111.31148387020994 40.50327142007965,13.802176719817929 9.046649793790317 0.10529316233941047,0.8542730698748581 -39.52262791124215 35.018746788183726,28.180385638199013 -112.23127045952255 -40.94357336046395
-20.337029788184942 -6.424656865183207 -5.8127290006712835,-14.711357594628382 -1.5280382333081193 -1.1902903221771588,-13.098570175341004 2.2078178134401076 -1.3058312258359936,26.281681833661978 0.7842893296792636 9.23700181217179,13.590072963662998 -2.087762208589406 0.30089558925320425,-2.0738379847691144 32.07907130781227 -43.71214773082781,28.505538158944365 110.26806035632796 39.98355426219755,13.592467808355448 9.208994378635461 -0.10768434869347282,2.906088035406539 -37.7158027922331 34.58016096047062,28.19807197230926 -112.1089015425307 -40.90505717961561
-20.96996771056405 -6.730662336525889 -5.995511356316945,-14.8947737632366 -1.8613280815503686 -1.0309254699294623,-12.97919809240291 2.4189298175629115 -1.4499366665979463,25.855359273307016 0.4043529237027337 8.139008984984144,13.570051986591796 -1.8897615188174393 0.41699618156644336,-1.525956565842393 31.401490447795428 -45.59141407591112,28.489679410782447 110.34342222082785 39.99584934796192,13.586529083162043 9.366624342847619 -0.10441860472430908,4.788228351372457 -36.51620389832756 34.32419505665774,28.084752487510535 -112.69741230846813 -41.194444402305535
-21.33761319611498 -6.425120073923865 -5.922129710009133,-14.951020735831284 -1.4726438748831467 -0.9547429217115311,-12.681672617303882 2.7694412187350608 -1.5596275988170083,25.452560920146027 -0.07624418113372589 7.471266171189722,14.0548777173322 -1.8529491254436237 0.8300695324781254,-0.9926076663878936 30.276607963134296 -46.4161532321967,28.15952154624344 112.19994394246632 40.86103761476525,13.987869996342106 9.427604584083547 0.352379732191867,5.914822759120872 -36.66416003306878 34.46081832156194,27.799153168506294 -114.24503453505218 -41.92250276395869
-21.3 -5.1 -5.4,-14.8 0.1 -1.0,-12.2 3.3 -1.5,25.3 -0.6 7.5,15.3 -2.1 1.7,-0.6 28.8 -45.5,27.4 116.5 42.9,15.0 9.3 1.5,5.7 -38.9 35.2,27.3 -117.0 -43.2
