-21.3 -7.0 -6.7,-11.5 -3.4 -12.3,-21.9 6.4 4.3,33.4 -0.7 11.9,8.7 -1.3 3.4,-6.5 13.7 -47.9,20.9 41.3 7.9,8.0 10.4 4.3,-4.0 0.7 43.7,19.0 -36.5 -6.3
-20.133438025765024 -17.928242376814005 17.212918388678318,-16.646566845927225 -11.38610060787372 11.263717897215054,-26.954020689067836 1.360589008740126 13.092036718807217,45.14519658564843 -1.0144791929338535 -8.669256093725197,5.041159087610999 -8.768325777912333 -4.771413480936905,-6.190044719326672 -10.797322603073653 -48.80145089583392,21.94409333487375 44.33771282115543 9.060103275432697,6.143678992455963 2.1797459173125917 -7.128068742164817,7.104036715351913 -5.048807705476872 38.82797675401391,21.188296746280272 -42.174541476207935 -8.301876768011871
-21.27410641105773 -18.222022378450227 17.0837585526844,-16.117540521356307 -12.646364244501632 11.920323366044858,-24.793976239431743 1.029673358486296 15.577457270279217,43.86157183681744 1.0289980949686623 -8.314264786489705,4.717897100084279 -8.495048439422007 -4.813105926312545,-4.582847484985272 -14.446743366602892 -50.05367105079934,22.933155281660092 47.25805599200441 10.160440428344014,5.872031551557033 2.3598793446407553 -7.603496030832424,7.280899606754602 -1.6614283791272528 41.32432392283674,21.651836546223507 -43.44698278084345 -8.758928504244025
-22.108196864754195 -17.97919819253457 16.981733697854633,-15.295695521601594 -12.939805391114696 12.072638326808251,-22.867410812426215 0.6167318272519988 17.46539037965459,41.65309354192632 2.9333127510354142 -7.912346376392886,5.042420650558622 -8.5536720766503 -5.2157602698370775,-3.7235775503862714 -16.925801022279956 -50.33433035235498,23.725602988538355 49.55967190373157 11.039558818374,6.25252263497216 2.384144474608131 -7.646884178121279,6.950274873531212 -0.911528684642359 42.992286747742384,22.076047842906977 -44.60782510206564 -9.17476518317703
-22.197269256546463 -17.01046178658864 16.92067994828897,-14.202032636879657 -11.910573293136977 11.574909582682142,-21.852641895626615 0.25514318695361016 17.866221801569793,38.75421774495558 4.010948598241597 -7.5020451921949585,6.14717431042717 -9.050563737064575 -5.9435344673967645,-4.026305283930205 -17.257925637996202 -49.267245756554935,24.04447034017481 50.43027293373776 11.395187111656503,7.395037303506653 2.1841932331135476 -7.029053339599154,5.798913837139117 -4.1156052419498685 42.896799907900984,22.345171151798745 -45.34236774720058 -9.441514309576577
-21.90256609249897 -15.998401955765429 16.92533419776652,-13.480719290012015 -10.374798537326823 10.784062227359044,-21.920483348632438 -0.00010204079701773075 17.331745028003503,36.847883321072196 4.176419151743277 -7.279867612602962,7.361955757574226 -9.63703887174235 -6.695056182050963,-5.001487951334517 -16.387221883960855 -47.71962297304456,23.971599706008416 50.14155869675547 11.312065120814497,8.637458957212383 1.9236530814530224 -6.27674121353577,4.736008894027775 -8.42123009358194 41.8801929965509,22.445943530734 -45.6190256668562 -9.543909202284178
-21.691330646539335 -15.740622372728799 17.021748045936747,-13.857725786541806 -9.303595323490745 10.123468524579128,-23.173402178017724 -0.10447906853967595 16.605085449034416,37.80669971307215 3.424848965248717 -7.462883438796162,7.910624456029167 -9.904284593798312 -7.133903363353984,-6.039718272386698 -15.512150872788975 -46.72310601168689,23.636616500038187 49.10954396219571 10.926485093868992,9.215783907691227 1.7968362145242218 -6.016506967472644,4.832009082146816 -10.424954436492161 41.020358664426475,22.378828319563013 -45.444119888492544 -9.479095620859328
-21.850544822635015 -16.604955446393504 17.179096110613607,-15.584224209885281 -9.25067306360574 9.826041248892738,-25.37886192601556 -0.02717292591725069 16.21652327569362,42.202712678112235 1.9540793967207029 -8.075849171618982,7.388301798270234 -9.625612359267395 -7.045048372408475,-6.69874464078452 -15.299694509582894 -46.87140053805471,23.180911200995347 47.768656866302216 10.393112861345033,8.725762155881887 1.9188334953917654 -6.54652345048682,6.554920338269772 -8.32535556324099 40.97910051819839,22.179687833311622 -44.91814899233429 -9.280681872803218
-22.208853209568886 -17.866485831600794 17.22193609498292,-17.70415215704573 -9.708436743519156 9.640425852650413,-27.452537487865943 0.22777241474823373 16.155152951167352,47.301120432836704 0.47738489899578873 -8.65454044058884,6.3340895512344275 -9.037407783568947 -6.522124203927929,-6.961329876859903 -15.065481644147635 -47.64469862918694,22.775788451602516 46.600143857636255 9.913331409401545,7.677862924788085 2.203305538666492 -7.329999794351031,8.840960875569552 -4.394364584115352 41.36026318322075,21.97439075523545 -44.381069888997736 -9.074986902022774
-22.523181107875445 -18.629446170413328 16.952266434224388,-19.072726240173086 -10.003295286300936 9.239552638381092,-28.17715810048517 0.6508284271104152 16.32530445716671,49.85031877636102 -0.2115178696835601 -8.65836067222591,5.434735450396274 -8.448504831158377 -5.707112936335691,-6.87681259940746 -13.913893299431797 -48.34899801356409,22.59716950210709 46.09239132351264 9.695759866962458,6.725635735707796 2.5323891927476536 -7.6996021655148565,10.386841673549643 -1.5409561525562552 41.60218276645465,21.902845958737565 -44.210189075472606 -9.002793110620923
-22.613536506810366 -18.319320033949797 16.278627944588088,-18.938610803172168 -9.69906936523165 8.439270651072485,-26.873397337662905 1.2002043621058744 16.605133743244185,47.85062564407019 0.34853899643480646 -7.789975149477951,5.166164152909886 -8.088961486776567 -4.762378752070806,-6.5236802193566685 -11.392823032961527 -48.49929523259752,22.73726843673503 46.4969512796722 9.850926674473998,6.331968947575674 2.810313672217811 -7.238788630134538,10.326024504571462 -1.6887389853010049 41.335640955747714,22.038406065707452 -44.60106696677444 -9.138093189538651
-22.485968434085216 -17.309011873099422 15.423772133334776,-17.71081110244965 -9.059745252842733 7.476919392141044,-24.448413513966667 1.7389629647303027 16.795605310361818,42.994479567650586 1.637983417146416 -6.469467662714442,5.382549004812011 -7.956512646713746 -3.9103959505293635,-6.0663846438948035 -8.358154504994896 -48.226958085518206,23.041433386333836 47.36691292546527 10.200074987985166,6.397460355015455 3.0064621479986076 -6.270643075706676,9.080019775208356 -3.855318490735648 40.75897254171119,22.258138561837534 -45.21326542568194 -9.357906183307259
-22.180653818370804 -16.14522373857074 14.668090216856898,-16.01118865488837 -8.477749604629654 6.667157779577439,-22.1003942488744 2.1127130324078047 16.683523439057907,37.651612256068056 2.9573335601549813 -5.248527308160162,5.824007510787361 -8.006275194487296 -3.3846656031314777,-5.685147353625043 -5.9057128266237235 -47.776423280522486,23.30972668418161 48.1272374406432 10.511380642394649,6.719559561002456 3.102169819378629 -5.253928468855296,7.306621222765012 -6.52521450689149 40.174625881731615,22.403103825229795 -45.60802120532666 -9.50311772658222
-21.73776958833793 -15.374657681072257 14.29197341154686,-14.461604977371131 -8.345509076087861 6.324644731372297,-21.027527161863937 2.167063362562511 16.05569240987077,34.191755418288274 3.6071075931642715 -4.678843182039831,6.230657175520661 -8.1933660136146 -3.4186887812972238,-5.560189829150542 -5.131323108939683 -47.39212752580665,23.342210663556486 48.20288600495738 10.553019472601152,7.095716168512 3.078771885646473 -4.6474077762043855,5.663622584546067 -8.182946871799924 39.88504933319552,22.31436223398628 -45.34657105884018 -9.41461345401901
-21.19749267265739 -15.544015751312507 14.57581293379709,-13.68392158678073 -9.055450322712831 6.764039165516274,-22.427999872413196 1.7476227526185317 14.698916503338687,34.98464076327702 2.8878236838780227 -5.3121043805782024,6.342615503696635 -8.472901987613044 -4.245966556446709,-5.871733551074476 -7.130810463034551 -47.31850752956706,22.93894765773657 47.018819798159186 10.093167313503367,7.32337978051941 2.9176035460907315 -4.909843964377956,4.808817597856169 -7.313035423492301 40.19269125348947,21.832974166209006 -43.990151739354104 -8.933279000273107
-20.6 -17.2 15.8,-14.3 -11.0 8.3,-27.5 0.7 12.4,42.4 0.1 -7.7,5.9 -8.8 -6.1,-6.8 -13.0 -47.8,21.9 44.0 8.9,7.2 2.6 -6.5,5.4 -2.4 41.4,20.8 -41.1 -7.9
