-34.7 -22.3 5.2,-32.0 -16.0 -2.1,-28.9 2.3 10.3,54.8 3.1 -1.6,6.7 -2.3 -5.6,-5.3 6.8 -48.1,25.6 55.9 13.7,7.7 9.4 -4.4,12.8 -5.7 38.7,26.5 -59.8 -15.4
-23.165068873807982 -11.681220407485421 0.06971749703522481,-15.252888497160516 -3.428356871114889 -5.105568956095859,-21.18919998696617 5.208417531918539 13.29690103879819,32.72582071717888 3.540222132251544 6.422459476255868,7.316812080018205 -3.2098576962366607 0.48793740742234953,-4.52831245316859 -19.61391620981453 -51.974250046651555,20.021210079850157 39.07074960758498 7.162226584592969,7.13222267697608 8.409320355814927 0.8881149967527207,5.995572539536151 -2.3092922026948264 43.3838706645153,22.327518264043466 -45.19537307518534 -9.419254163871422
-24.374786500272588 -13.064923466174305 0.39361978703145084,-14.145877593100435 -5.413756265575855 -4.631433776942784,-21.176387497102404 5.515445488536116 13.58914400317309,31.95072442177092 3.613569946499827 5.555899015631037,8.661170596672479 -3.0088968197216155 0.10392242837041545,-4.85495463518361 -20.15673332857276 -51.687978866388185,19.306149853736315 37.34893609037389 6.614393414358526,8.527747103939372 8.695480249243506 0.9113556246809975,6.03109250025587 -2.712041602896788 41.402112101592145,21.91771974483011 -44.034829180063205 -8.956628565971767
-25.494059174451234 -13.762087889113559 0.4694265422878441,-12.833346803611295 -6.857394884770721 -4.2933836934545715,-20.94974878838573 5.680184723643809 13.703179572012397,30.58430464538971 3.594129843520979 5.202190227737265,10.134051763786818 -2.8628047418707276 -0.15596410633807983,-5.015500440517661 -21.30674051871089 -51.48106239523668,18.647740365189595 35.75975929867813 6.111750401936401,10.03706103796339 8.921613818032816 1.0395714840522192,5.522180111223689 -3.873172799393986 39.722789094753274,21.531359067456542 -42.957068034210884 -8.524830286847045
-25.94145682369263 -12.682290873791892 -0.26769636101354166,-11.427689281698525 -6.922074679824715 -4.2042345560182115,-19.751697761886554 5.481081876015213 12.877456026708376,27.542318149196596 3.4219124536971295 6.258246977747977,10.960508665950057 -2.779325244398336 0.02864661318574586,-4.348645381364187 -22.44057088567075 -51.37948952554569,18.566467209757267 35.55822570686896 6.051886266140796,10.846824279320334 9.010377694418082 1.3068329463681978,3.7098115572322925 -6.049039014042555 39.40417517794263,21.594785651197256 -43.19271651868028 -8.61554870068701
-25.48398704126147 -9.582380339297156 -1.9934070069652452,-9.998937784383699 -5.428068993341608 -4.395559187803617,-17.522954993143816 4.885215175368426 10.851518409026545,22.884604926311432 3.0365094640190686 8.919003801270865,10.934722205495158 -2.7317907530812064 0.7284737518810391,-2.6408240305117494 -23.28772910410797 -51.41387241361869,19.255162299854877 37.2401438859142 6.601638336050298,10.731421139710745 8.984947494518607 1.7706807170518246,0.5173305044537744 -8.91008007263725 40.75906741600487,22.212280224692805 -45.032963295934735 -9.343898893188303
-24.428735802592247 -5.532473823195802 -4.280140618085444,-8.55146645491343 -3.214731824716855 -4.773003719794241,-15.286616403122759 4.1520418173855065 8.14161173931093,18.44433397938978 2.3768631992210105 12.291327273086798,10.733021402258414 -2.6401960919928653 1.6272795250148735,-0.3724665046713057 -24.124670780959555 -51.6219892748893,20.398794339043864 40.124565656506455 7.570179286653326,10.376208923549035 9.024303259474031 2.5250345191036674,-3.0742497848017027 -11.218570037077647 42.9447743466809,22.9889170461011 -47.31286778962538 -10.241305802883288
-23.1288609858011 -1.7111733639503717 -6.649188999050728,-7.085023956088967 -1.2049490957541154 -5.2316579919638535,-14.150605952637918 3.56476883381679 5.3297214688127115,16.192381458219852 1.383622078799395 15.392323356873412,11.102016229202551 -2.420866686416113 2.377465124058231,1.918131274307508 -25.271758121443547 -52.041656893137244,21.639910166421902 43.43153977650144 8.736345609754837,10.539471958131871 9.318947536600891 3.664765896624117,-5.998486629585875 -11.670501590052888 45.022788152485795,23.489688579216303 -48.750795138980266 -10.792478553173593
-21.90277281899452 1.1061784448915 -8.68898486895112,-5.691302879226034 0.0498231390805794 -5.691438331004882,-14.47840023498962 3.2806294103730185 2.9014025629175424,16.765538782699313 0.15585946039525686 17.584066364640233,12.284548503148443 -2.072739648144247 2.804570411191984,3.85746267558377 -26.766757538328452 -52.6587335300625,22.734824644703608 46.58102376180091 9.91769710074361,11.49069810681455 9.89034164645722 5.088952793136056,-7.6882238417755975 -10.026489908534035 46.37654000475172,23.536805064264136 -48.83514999018513 -10.796295099197636
-21.007050538202023 2.8618107459018503 -10.107433467924471,-4.625603550664912 0.6590620734151011 -6.116438045453852,-15.308784266645905 3.2326951599904348 1.170618739664114,18.42668770283522 -0.9254452962899883 18.842477450027733,13.62704014309971 -1.74175375764968 3.0422232998439154,5.365251987354336 -28.144576166155893 -53.36662092250223,23.64229480938132 49.34869866159425 11.00069894217627,12.629596405295802 10.459149970830092 6.3482722513052385,-8.46475032733154 -7.941570799107124 46.96232879568694,23.41017763037028 -48.42456797311648 -10.610674670555788
-20.69077610697073 3.572232655500066 -10.626223626439474,-4.159123660399213 0.7998932114800377 -6.475408270246231,-15.548317552790643 3.3309667986161697 0.43235881381377145,19.201534559136796 -1.4516451792420944 19.207249694772866,14.385929561469148 -1.5883898262129073 3.2550054758790967,6.391122741936412 -28.889022964844887 -54.04917603087302,24.341678129728514 51.546371920775535 11.87877601082674,13.268473797388898 10.716213522490522 6.959229616788766,-8.740073818870757 -7.25876272933219 46.79632692184399,23.43574333447542 -48.515357768574326 -10.64965806996052
