-17.4 -2.4 -6.1,-9.8 -0.7 1.0,-8.8 2.2 -3.4,20.0 -1.0 11.3,18.1 -2.0 3.3,-2.0 48.5 -40.4,26.4 120.9 44.9,17.8 8.7 0.4,2.4 -39.8 39.0,27.0 -118.0 -43.6
-17.62507769019763 8.645632979231015 -6.15698407416813,-9.783829624534805 11.347346095146602 -4.191709531404068,-10.062098969544934 6.837347386971546 -3.454110803340033,16.817769572782154 -6.985222091197203 14.247163615969944,16.8629141883825 -2.1847232924130684 9.715736008505324,-3.424263118496811 46.83976736194305 -40.06182224824917,29.616891251737606 99.95936022162816 34.983499287710806,14.85332549524338 9.325250481803483 10.783291227439037,-2.4524812136935603 -40.58282353322333 38.80101216147543,28.783158034144858 -108.50646844620796 -39.15404149517932
-17.585323484693586 8.89484136965907 -6.43987437638622,-9.633933224954651 11.60859528810614 -4.725159647134848,-10.463519617752308 7.000252135219311 -2.9167665393346627,17.091174872813546 -6.716670708022733 14.141761589720995,16.55813972373866 -2.096463705251922 9.888484116647344,-2.814351164969296 46.03205970458525 -40.76644529306811,29.709406455902517 98.85877963388718 34.455273890630615,14.530802514104762 9.404514284133699 11.057427242482602,-2.0932537112837903 -37.97213209416243 38.06830802291175,28.69453542274383 -108.98191199191855 -39.3938910765365
-17.412712786111513 9.113744917270045 -6.653001517175297,-9.463103980241065 11.83133940709783 -5.185577793001713,-10.409657987494027 7.099046950161605 -2.255782615058389,16.590331470039978 -6.351937690809459 14.20344815619757,16.225058231853637 -2.02014607076753 10.103392711304883,-2.1518846267001037 45.42093186949791 -41.19371871149793,29.78453998384655 98.1417731884243 34.115850076520275,14.209850339382951 9.422110912550378 11.143351267053706,-2.138970721639413 -36.410463530416294 36.88180060443494,28.621914233760336 -109.31085407254733 -39.5577700635807
-17.29210719861395 9.20083058919157 -6.690120218829106,-9.403152170744022 11.894632190056411 -5.279037654363706,-10.158872098264732 7.0898767504182425 -2.010415827115702,16.040993823591254 -6.20347879816857 14.316017804631551,16.104789739765128 -2.0030747701242073 10.201165190959177,-1.9082367039922548 45.33330123441761 -41.15697049344274,29.795754280522736 98.16569530504671 34.132078959992306,14.10678798610139 9.393123346727384 11.082860104902135,-2.3280756326666765 -36.425116200264725 36.28841480026314,28.601731994586224 -109.39254281036344 -39.59568593050519
-17.336408577201382 9.09897827257024 -6.513465070680131,-9.517676099194995 11.743949229490573 -4.890478783832231,-9.926473137136508 6.969183271184698 -2.445197855617571,15.939916624460892 -6.429412923848689 14.386977077393269,16.316014650910518 -2.0644113552629912 10.094732592673733,-2.3178990911312414 45.878712616297456 -40.640811869996995,29.726665770836966 98.99193207936572 34.52986320086711,14.323445725131178 9.338801963237422 10.930306381260358,-2.4701679131732597 -38.058647722670116 36.86430811801497,28.65028114457324 -109.1850456346619 -39.48806138038093
-17.475552020105614 8.863942464232952 -6.259389378731256,-9.696836494362728 11.493652077788944 -4.359629807200002,-9.818320279338234 6.835867996652263 -3.12613705127169,16.20159371136626 -6.795437977054033 14.38412340876953,16.66609515137666 -2.151760678035815 9.880673852988366,-3.0130623154419953 46.614013623996044 -40.065363360354866,29.637561184690387 99.92933273721516 34.97672619909862,14.670551725849263 9.296078524725589 10.77196748432904,-2.5557703606124536 -40.12110112365506 37.98865248765523,28.732632690724518 -108.79598549663997 -39.29265367968308
-17.61084348503861 8.569150324483926 -6.091466970744675,-9.803674477912349 11.284515179342488 -4.097311113563425,-9.923087313833962 6.804837926777846 -3.5100172176961424,16.649356782541364 -7.0058876837705215 14.28471366129734,16.9137081375562 -2.2015409341208296 9.684297963618414,-3.531721575119029 47.0096613024039 -39.918778776607866,29.600710484160942 100.16917607706446 35.08420280500202,14.913313064442404 9.304324979173808 10.699091033884212,-2.6037321689903195 -41.229929939840325 38.85339001193983,28.805846234127465 -108.35639165728863 -39.0793215377852
-17.669965941037884 8.285338860699644 -6.118265517106287,-9.74912420628743 11.21686720440836 -4.362212009552273,-10.271880993641776 6.943355947422232 -3.2467820738385385,17.122708276053807 -6.8695166942620345 14.089017058887498,16.896138304251387 -2.172807892633011 9.597423782355841,-3.557926360845071 46.72844063232972 -40.48818931704621,29.66060172037504 99.23459587574767 34.62409596471558,14.89379935690378 9.383923700720995 10.767248425145825,-2.627864888780965 -40.50755982515283 38.90311506626609,28.838457644975303 -107.98203079978383 -38.90772020639593
-17.658392424080716 8.07531138474633 -6.286130645242064,-9.585364131404862 11.271755702328548 -4.964362666663264,-10.7260335842725 7.178174756271888 -2.556035129065268,17.508840753715535 -6.503033831054557 13.865169996208634,16.682497440881395 -2.0913791832815054 9.613102352566212,-3.206463863237445 46.000342743331466 -41.46787802172741,29.779789601596132 97.62741984409692 33.84086512622809,14.680760264320158 9.499253742956373 10.926796104523781,-2.627123245978516 -38.565660772963064 38.32753438765264,28.832848164756165 -107.7436578000401 -38.807413292458854
-17.595866002832732 8.000415828661845 -6.51164950637566,-9.390482963299739 11.408346951975428 -5.631489939579951,-11.115733432974896 7.410271459640648 -1.7618799163355674,17.703695190233777 -6.079639912086354 13.693758616120608,16.384424363108735 -1.9953194227043838 9.706266466842669,-2.671137030322644 45.15940868550425 -42.44337416650739,29.9057987489967 96.02901011140453 33.06567520002617,14.38452828451476 9.604420749940942 11.108789586858126,-2.5977365881410837 -36.289094023811984 37.45304025890941,28.797607726809563 -107.70377043912362 -38.80244430541234
-17.502129745959536 8.12200012448405 -6.71140925173074,-9.242569412007157 11.585807232221377 -6.09132068298592,-11.271168886997756 7.540623163842358 -1.1884199686086432,17.603212560315775 -5.772535755295687 13.65536906148326,16.113557886595938 -1.922693227539713 9.851848917778355,-2.1457488101271474 44.53967950894318 -43.00020702724216,29.98615378374921 95.12072880696272 32.62969109659643,14.115435915310787 9.653530365735726 11.244284386988909,-2.535934262826779 -34.56272081824049 36.60602496284629,28.741326264474992 -107.92486649810061 -38.91685675469476
-17.396926722126757 8.50141220425082 -6.801997032530967,-9.219712187562212 11.763302821938778 -6.071581751564746,-11.022528293589861 7.470206975190862 -1.1597588188437147,17.103333838668767 -5.754922178620815 13.830587475156443,15.98153682700552 -1.9115652144255622 10.024782497966418,-1.824102150677435 44.4751962637434 -42.72390587978771,29.968379327026156 95.58393806006379 32.864077726425506,13.983815654531464 9.60068823440174 11.264336019756186,-2.437945617593713 -34.271402396789526 36.11288078227318,28.672593711091974 -108.46944375803736 -39.17469414974453
-17.3 9.2 -6.7,-9.4 11.9 -5.3,-10.2 7.1 -2.0,16.1 -6.2 14.3,16.1 -2.0 10.2,-1.9 45.3 -41.2,29.8 98.1 34.1,14.1 9.4 11.1,-2.3 -36.3 36.3,28.6 -109.4 -39.6
