5.2 -25.5 10.8,9.9 -22.8 16.2,-39.7 -3.2 -12.5,55.1 -6.4 -15.0,13.6 -14.8 -23.4,3.9 -15.8 -37.1,25.3 125.0 46.7,17.5 0.3 -6.5,1.5 25.2 49.5,25.8 -123.4 -46.0
-3.686550392678673 -35.41936537913202 10.210394837639912,6.78975603742329 -26.43889399444339 14.185683237437173,-36.26320387947125 1.126294910870911 -13.619722842922869,66.30667879589704 -13.424463203946772 -23.46891357495004,7.292467208958181 -7.706261231379589 -7.374242960030188,32.449309738272774 -11.593392453485652 -17.259678131999348,29.81111420845513 83.26626206798367 26.627002752005215,8.347851409612227 5.179988883566515 -1.791842747988519,-1.318052667603799 -16.784507073720444 25.337411352203617,30.05591359759226 -87.72215718459219 -28.906651960074495
-4.026835323014752 -35.09304550407111 10.339648286045449,6.68023647837711 -25.764445982085423 13.523686033146484,-35.028696992549975 1.5791505853803556 -14.815308001091019,64.84273719037623 -13.837479867686993 -22.48851281930778,7.558865614253767 -7.447959231655292 -6.207576338089451,36.40319667846882 -10.202972775973363 -15.788405616446456,29.92346807096221 83.70904130483136 26.858091830113796,8.41899749739793 5.232910179742986 -1.4821344213650496,-2.1895780979250543 -17.41584346366169 25.646652738902105,29.989887402071382 -89.89730197973783 -29.997346646627843
-4.794683062911831 -35.253148921685614 10.570009661005967,6.596081879594156 -25.02005224389932 13.528054621704868,-34.87659097638253 1.8073780756059934 -15.610815487410095,65.01382893907505 -13.638269230190545 -22.482134802747805,7.833509416423971 -7.275883156932392 -5.785460031042598,37.64980358500555 -10.1031124051977 -15.52012817843412,30.018597876718363 84.53043342858206 27.292611209402807,8.542923979881607 5.48115478028269 -0.6741358905241017,-2.035276374604876 -16.721312418870095 25.75479453423218,29.9711691462531 -91.21234024065306 -30.637455796869435
-4.885266467276448 -34.993995001677334 10.70869804541025,6.561353007685308 -23.867003219182912 13.833252012237292,-35.562620469487086 1.6800825001566837 -16.10247277954192,65.52579878703007 -12.803773828755647 -22.648580083217972,7.953788958240594 -7.427945988404577 -6.5068521187005075,36.53477659962019 -11.632027715625002 -16.338984741279962,30.05142988101336 86.27004176543443 28.18331039441304,8.689043165657868 5.621418672963485 -0.03862691284271491,-1.1549967856786556 -15.028165423330382 26.068138887178808,29.983961182231376 -91.45996201335699 -30.73900610959902
-3.0415089670688413 -33.30871480348853 10.547585064111667,6.61569396828995 -21.9387751952829 13.999145985749063,-36.68505286776359 1.0698720523158889 -16.450531581943537,64.72716417990392 -11.332447766492178 -22.01146247811557,7.7378431658308555 -8.16033656010698 -8.761387904247316,33.670264200946335 -15.061235943800632 -18.000576608551714,29.980809125198544 89.52145783352974 29.808545149299714,8.816884758872703 5.309025879198379 -0.33623883683106154,0.10459664437184323 -12.720568860421402 27.13432585336978,30.002107426055648 -90.5926139129686 -30.296551567467876
1.1931522253049753 -29.83513087916359 10.003665061967293,6.769676344072807 -19.1858082199415 13.766202184805657,-37.87445966102239 0.010379527582905938 -16.76556174148506,61.804528945565885 -9.402106812660586 -20.097563417505174,7.136029505551923 -9.51874689360507 -12.453237343476495,29.843724264917892 -20.155974469687788 -20.194973300891647,29.79711239526802 94.34942771889477 32.19267411315244,8.901491818457343 4.399514181418465 -1.904606373320229,1.4021796563159226 -10.289742888965701 29.14007435899829,30.00783709152864 -88.86095705780782 -29.444632414376738
6.239872436389592 -25.85027537904699 9.312072712889348,6.959951153748659 -16.364462760691787 13.334079139576946,-38.84354958054538 -1.0553368765584492 -17.03181070315545,58.07543745892539 -7.646616441061807 -17.713031578735645,6.434887792535812 -11.01365426143896 -16.252213391637248,26.288360966317388 -25.394200152475907 -22.445621498718996,29.570889923061884 99.4740411590754 34.71423613353927,8.957352068516402 3.257490153156711 -4.005841822051831,2.4100050189320905 -8.499105421680575 31.354415744199034,30.004700071753945 -87.27390062997127 -28.67372165540494
10.201578385041273 -22.887427141543515 8.757681525321901,7.111612771389034 -14.357029024453874 12.974273389963999,-39.31801078745404 -1.6202863207797082 -17.213752217814893,55.19068281170548 -6.7709849832966436 -15.864079906934391,5.973498748942049 -12.071893094357895 -18.635333747149527,24.30669313530889 -29.05281766857252 -24.250000359255605,29.385228226339642 103.40519012232137 36.6508164283105,9.005126104245576 2.327165002659758 -5.733869273333424,2.8026053201530527 -8.15429097862354 32.90295607950585,29.999583340973142 -86.95867382781779 -28.52982576355743
11.79075429871982 -21.942134321192174 8.528532457191613,7.172597217023883 -13.714036514090425 12.87631340684809,-39.16928411868514 -1.3985874343879456 -17.28441401769989,54.26672932359144 -7.14691999085815 -15.22308670487825,5.9655114195748355 -12.325225136201935 -18.68703491370731,24.60193989442427 -30.053639548302108 -25.258708550643355,29.301008085116827 105.09805242415736 37.4956517888722,9.060893540400834 1.9170958426219897 -6.462402204357108,2.4449833887046353 -9.557741503737699 33.250359566444516,29.99753325779026 -88.5314483961714 -29.309539608698174
11.51756795639682 -22.424090428983774 8.52709163409331,7.1582042141063225 -14.007598828625355 12.987990585697183,-38.69865859482295 -0.7564463843537997 -17.242050907805606,54.844219458194075 -8.163171178367906 -15.477897992486424,6.254656572393971 -12.009775877954231 -17.28312956494405,26.10988872663711 -29.220415751786753 -25.573918911321947,29.31362197202519 104.82102576841834 37.377970330118735,9.127223940479547 1.935773946456809 -6.3902981871555316,1.7638695590745248 -11.527902755936736 32.861227601124526,29.998167907989142 -91.10120510094137 -30.573902956875163
10.221959356717806 -23.452075257839326 8.603438516425996,7.0960908767907505 -14.630346151271212 13.212751380474096,-38.28627581844541 -0.17969014328761135 -17.089545419610253,56.174722404324804 -9.028171659431422 -16.13575436778079,6.6168061071227475 -11.472537027412487 -15.628045550025728,27.442104392624223 -27.725793088862673 -25.380642338944124,29.4064489970162 103.08340867661872 36.54366823695241,9.204208545480265 2.2183013641381173 -5.867781589923858,1.2890390683258754 -12.61099198344153 32.38359292268297,30.000109599439682 -93.50044127791836 -31.7490232390911
8.743868498328311 -24.144868600679864 8.60765256458867,7.013914319231572 -14.974908665240564 13.454042245141654,-38.31227739213044 -0.15414568379969462 -16.829780084592056,57.50980735079507 -8.950354547654257 -16.70389642878325,6.827831923484476 -11.0605002923744 -14.926210718118295,27.21015165306251 -26.742418369366053 -24.863889731162676,29.562868270041346 100.39449967027285 35.23864169427563,9.291938596401543 2.5997801456398157 -5.245076780857267,1.5502671535218076 -11.353226434473068 32.46548827025697,30.001980640011745 -94.56165426289326 -32.26100788634873
7.923235379873857 -23.62125025042641 8.389813238980338,6.939331655583188 -14.43391655374597 13.615309633662683,-39.156804918456004 -1.1656399785003924 -16.46563743422923,58.10104348641633 -7.13815295664192 -16.689564773515688,6.663605921202459 -11.120657380637674 -16.382052918387743,24.025595268628784 -27.442938403133102 -24.208671985630374,29.76625890105212 97.26359727089513 33.708786886990694,9.390505334241938 2.9153123409358126 -4.872408128150919,3.077329051725486 -6.300823357252197 33.754946382983626,30.00240333757523 -93.11734139165686 -31.535964329650778
8.6 -21.0 7.8,6.9 -12.4 13.6,-41.2 -3.7 -16.0,57.2 -2.8 -15.6,5.9 -12.0 -21.2,16.5 -31.0 -23.6,30.0 94.2 32.2
9.5 3.0 -5.1,6.4 4.0 36.9,30.0 -88.0 -29.0
