-31.7 -22.2 10.6,-32.4 -8.1 -1.3,-37.1 -1.9 14.4,68.8 -0.6 -8.4,8.9 -5.6 -10.1,-14.3 0.3 -45.8,23.1 47.6 10.3,10.8 6.0 -9.0,27.5 -6.7 39.1,24.3 -51.2 -11.8
-35.897393486762994 -22.092086476788477 4.41128856596629,-34.27295578870695 -12.333645995082282 -3.8215365280411766,-35.949200387392864 1.0679692737159168 19.065068789200627,67.18789560290443 4.080887319716875 -0.4782489050829267,6.208465361729297 -1.8548106115266212 -5.664995051155682,-4.535611795845924 -21.22155611166387 -48.91519288464527,21.494427912559196 42.91886482789487 8.521180456082439,7.387512072899401 9.510807720719075 -6.0982833178958415,22.722556640725625 11.616589207247198 48.747640219740404,23.389078794446743 -48.29281131345253 -10.598722794253137
-35.74061595603009 -21.618764598044287 4.555117182698515,-33.46534091267746 -11.754796186781398 -3.7679145794037674,-34.438767635597515 0.8526869755963795 19.344200305501055,64.62698457094022 4.8096539436429655 0.3788430262094344,5.919662325769028 -2.0290275571152874 -5.798655407316634,-4.691488009226325 -23.928069595430483 -49.889237868505994,22.017087890737287 44.31247390636277 9.012490057839502,7.121972474884669 9.37579740143769 -6.096268624817512,22.12657714187713 13.361200190433378 50.415669244798046,23.826859091934477 -49.721508201211904 -11.172772623380236
-34.66664901041789 -20.828387053970513 4.030873648033323,-33.517850277070615 -9.801707334110995 -5.163740606420006,-34.36003926096141 0.763434761824589 18.52210871013717,65.17088878182335 4.707181992376115 0.6042755424566961,4.857115842983454 -2.0326433153433476 -5.612324136653782,-5.2683457141672685 -22.415283206860273 -50.879266087079095,22.27761079334708 45.01665771630045 9.28267842074715,6.049045119668512 9.35779979039607 -6.07592491176515,22.3616502217693 15.33687366082147 52.3210345714064,24.293300674228767 -51.30546551003659 -11.836190713330346
-33.49435365146758 -20.245481378638885 3.5146625532549125,-34.05026106187862 -7.975151453356926 -6.681040951890037,-34.79144322488049 0.7338952231790066 17.555981702587047,67.11034491359976 4.3120210904188525 0.33221249650212276,3.7572209041886104 -1.9852874734556933 -5.359881425483506,-6.03946960281534 -17.640085988040838 -51.54063027801375,22.435035040605932 45.481935782754945 9.483742542913335,4.939536826300832 9.35854596070434 -6.132182488055772,23.073175196051317 16.198080369360802 53.86224510026124,24.760636218598073 -52.922231583059904 -12.516579353416002
-33.13376448969565 -20.443110335337572 3.7621005268284433,-34.60711781668186 -7.929495192625961 -6.844174554747787,-34.669552380630414 0.6819831492404742 17.53182862089271,68.45771922996096 4.24453258120832 -0.2529625144452726,3.435054618725104 -2.022957213665828 -5.325517297214249,-6.742703510254855 -10.805986354043029 -51.51577795294568,22.670143635251343 46.219875758253885 9.787843549607425,4.6474245117049895 9.26417634506699 -6.37972087534252,23.872632305902382 14.518182339424138 54.40508565457032,25.195483495652912 -54.4302311454175 -13.131594624857948
-33.8594263256185 -21.57788231294285 4.9804086272213866,-34.79952607553047 -10.22963753896073 -5.109103679006007,-33.508038046635164 0.5832866969156802 18.81823655878966,68.02000288993099 4.784404995677477 -0.9157255398538725,4.166505909994842 -2.1873308074671685 -5.6089996430570555,-7.155121188937837 -3.7825548115666177 -50.71420579891956,23.053157589516527 47.413685084746014 10.251799481405158,5.45867170644116 9.044557299696027 -6.8429809421238765,24.530061418896462 10.297668929976403 53.69743474369679,25.509214701314463 -55.52227609696141 -13.547303958289051
-34.64446839348588 -22.953551418530044 6.25375209039086,-34.37490119197429 -13.209363540609633 -2.8396151513452383,-32.00240784143573 0.5315029476223943 20.314588129258112,66.23149435448481 5.513665164728731 -1.3158226227764043,5.12326362252269 -2.326931425086585 -5.932419435051386,-7.134135091201525 0.19661378405960805 -49.59229882182787,23.427878713917384 48.57412440382946 10.696218004586155,6.496010916388365 8.84101697049399 -7.361604389317057,25.140215659569964 6.459634552585691 52.269658122447964,25.50006496819202 -55.55202087914559 -13.524126712789775
-34.30520414376812 -23.770753295679317 6.531032101536827,-33.09855850132273 -14.932293317991352 -1.6304108007049842,-30.991832437360316 0.6345322085323244 20.742579020047064,63.726181216888726 5.929418008965377 -1.1014850226263804,5.34387652741224 -2.267119849066682 -5.972319985432567,-6.5480704163481445 -2.2588982358903107 -48.67265452877968,23.61073007271587 49.13069579008441 10.913173569900133,6.741917517172522 8.815470681863582 -7.752785725832482,25.837131093933912 6.277686934350499 50.74723856375058,24.953080175310024 -53.83373940772261 -12.810373922131623
-32.36710706310692 -23.596188682255743 5.389917171313322,-31.07425142169958 -14.307410615153366 -2.3245302477877874,-31.02292136084591 0.9279517116677496 19.441745655529203,61.25979567332582 5.669375645044454 -0.28711111093761216,4.44395906821085 -1.9698704387366064 -5.6001399483774845,-5.566225866197153 -11.687514631882859 -48.26784574676511,23.514636570070305 48.81464145996665 10.80366487681101,5.7869676016474205 9.015883986817911 -7.884178596277583,26.62160136172775 10.971276940945943 49.56153850190518,23.83899484765425 -50.28246373663969 -11.385913905039907
-30.031957935099893 -22.861860303562356 3.8943514068343648,-29.20573083139623 -12.241963515065487 -3.9882394934567404,-31.95073024548628 1.2763819339779758 17.21207186592733,59.87584892024036 4.703616449320789 0.24735760430634168,3.40318929639677 -1.7200837251637169 -5.1480101592005925,-5.0693391023603604 -21.886136862732492 -48.19399050291689,23.280633452144855 48.070454766221985 10.526164965723952,4.659161282041413 9.220868803754575 -7.74271158046857,27.179462631836987 16.904254501357826 48.68506013723254,22.567472970854343 -46.233293604704514 -9.777968393620446
