-16.7 -2.5 -9.0,-10.2 0.8 -4.0,-10.3 4.3 -0.4,21.1 0.9 15.8,16.7 -0.4 5.0,-4.3 51.3 -40.0,27.4 116.4 42.9,15.9 10.5 3.2,-0.1 -41.4 38.9,27.5 -115.8 -42.6
-20.362613395631673 -6.694743275868474 -5.446133533936069,-11.520710578568439 -2.3961476515433056 -0.5720667887384473,-13.022016043765644 3.0128235439754203 1.704777226160732,28.543189686081288 2.3388053984259356 7.3652867455581434,15.994411606237747 -1.7179440786796578 2.220738953638741,-0.5913773428945837 31.8721834177398 -46.55553787442439,26.53050925631516 120.40608811637367 44.67664768957224,15.864779577647736 9.064153160918433 -0.5587094184724705,8.233401682177146 -36.45560776891286 36.4114300498762,25.660062141810233 -123.70914174113058 -46.13992930794962
-20.00721289011604 -5.105564789329802 -5.630529806434547,-11.224020034710021 -0.9512771652317256 -0.6005622560526562,-12.218046984568021 2.7500649583571244 2.2439586783717447,26.312200775940678 2.851060037753711 8.393621291851046,16.366117977836236 -1.825066348440454 2.790104248079551,0.5417988107499437 29.31126262660393 -46.92049068562357,26.36862904711745 121.0110015451054 44.952538053976674,16.14953953993384 8.8625527796055 -0.4722735425811515,8.050073358279613 -38.287247079358686 35.88117294640898,25.479561750876837 -124.37942514066388 -46.433330815638364
-19.466532992761053 -4.004086833132976 -5.711646042361052,-10.763709251019723 -0.1561833660760568 -0.5579900998454229,-11.338932384436934 2.547332509441725 2.017595553486974,24.016117066241517 2.7336758243318666 9.104779508536655,16.62262720972528 -1.9584283125991804 3.017557539215296,1.7285048630096045 27.218121511463128 -46.69794454257527,26.24471883293697 121.40395871865444 45.152588724879074,16.34362873414093 8.715619044206298 -0.3013038019608345,6.703049801994662 -38.978713607609656 35.29171554328913,25.488408749790747 -124.38846526301074 -46.422157791203404
-18.92140883364562 -3.4219639759590135 -5.717200609879024,-10.23068832843015 0.08598720503558889 -0.5002318860981684,-10.73414610509506 2.4257582181653796 1.450977197910683,22.369186813765815 2.305506931338455 9.42888109706994,16.84989681623332 -2.068145180150309 3.0271958102723615,2.831018445046421 25.57346934786094 -46.220526655894,26.184790477549818 121.52807632195204 45.23828282119371,16.54286831248826 8.627892920105417 -0.14530710033428956,5.0404972897248195 -38.86111385344786 34.80664716659615,25.600892997627614 -124.02949820936212 -46.248118608492106
-18.565063681022327 -3.3117411239041386 -5.697277138331884,-9.729030822837176 -0.034543199896321986 -0.5088247552716479,-10.758415314019922 2.4038128326586006 1.0755345595395982,22.06830094042844 1.9703584268747336 9.36507397673739,17.156541167393403 -2.0969214259700797 3.000747425860849,3.716848190905326 24.334390977968706 -45.86908412733319,26.210313875213807 121.35229001555086 45.18071410037754,16.861089047567003 8.599491557601025 -0.10531333874973256,4.023208908942748 -38.4339052079246 34.59077920617347,25.713168629883228 -123.65535111955009 -46.08157391959511
-18.511284320639863 -3.560489445758126 -5.698880766334539,-9.362171956386211 -0.33408532374678807 -0.6191353660310185,-11.500681923902619 2.4799394641631847 1.1775661559265596,23.28308964729716 1.9577231863175206 9.010111716637859,17.565572124024396 -2.0199358765498694 3.0557564323717576,4.240681594547211 23.649184737334785 -45.85412641138038,26.323180412060523 120.90119822911178 44.98112039493532,17.31525470563283 8.62767331872346 -0.20849145408494274,4.178415275872933 -38.070280344647266 34.733516828704985,25.760041745062917 -123.48796561805484 -46.02783042778212
-18.67188024202093 -3.8888048584098165 -5.761189180754235,-9.231923906987134 -0.6455608745243864 -0.7491360918895996,-12.374095246272255 2.6016584259687567 1.4200903197834565,24.842556115637 2.0538833048587812 8.708922586260574,17.88234634852443 -1.8949375015843686 3.1465701352859963,4.224606780889024 24.15233343464666 -45.953057966483364,26.475500642910458 120.34092901760752 44.71738465789397,17.67603244694335 8.70242773502842 -0.29420954700808655,4.930959628453836 -37.82238793534662 35.132535348389844,25.774595942593642 -123.41649036480608 -46.026786949700536
-18.92706483788404 -3.9913046751053445 -5.922137836931447,-9.439803039597297 -0.8045342098301846 -0.7984543601905882,-12.686211883771103 2.708540558707311 1.368654995080875,25.36623611582911 1.9757948078537484 8.845141119064754,17.878233189172395 -1.7925819368808609 3.202012466741531,3.485742395042669 26.55409678224728 -45.87556550864458,26.611602045804414 119.85973016147088 44.47937293048198,17.67562870160763 8.812608530424974 -0.1724860343964909,5.533267444226367 -37.69210453303315 35.6554970090993,25.80529422235441 -123.27799240420565 -45.99245765195885
-19.19565117264217 -3.6733870616810718 -6.199174976117483,-10.035734160330842 -0.6980430578349484 -0.7132995720213077,-12.027492162660192 2.7704187096654054 0.7472550175174799,24.042054004630554 1.5339349723888582 9.61049752240595,17.44215265480003 -1.7552335738770029 3.189686262447388,2.0086221761925396 31.126544543030093 -45.45690473027434,26.69069116045899 119.59365670214541 44.33387439682246,17.178030374048053 8.950048387266607 0.2751889722981537,5.489304124141949 -37.68080516236911 36.18191322573206,25.88858812139461 -122.94649885845703 -45.859014974414826
-19.510288977338575 -3.0671608121143095 -6.549328736022027,-10.917490234958347 -0.36492843074412035 -0.5772588931833755,-10.822725186112761 2.846373271817755 -0.25282930040330553,21.734203888859945 0.8145903529050779 10.630765148656776,16.80970063955345 -1.7418213546275116 3.191559608497348,0.27151401762831573 36.84945354042879 -44.90265451771059,26.715855282809855 119.5248388633746 44.279620861950555,16.435866273248408 9.115365417535 0.9565437898749243,5.04486693321936 -37.78838575990852 36.62624053248149,26.02550543273024 -122.40503808916827 -45.620081360798736
-19.924510507197905 -2.3646674537839516 -6.918543617503805,-11.954933059859398 0.12812143001353762 -0.49912046011953737,-9.649751717850942 3.0118564635458713 -1.3545974598984456,19.614379599514468 -0.045357252336631904 11.42789660367939,16.280068254941426 -1.6959685833737266 3.3105800800844998,-1.1567421799614954 42.46553867963415 -44.4863269046773,26.69823132039819 119.60717045946656 44.302859490349306,15.773058792326248 9.31078935758634 1.7406403598836448,4.5818368984012405 -38.01447093404633 36.90934589631529,26.210575716309943 -121.65663395750875 -45.280184933829894
-20.49184801744481 -1.7579485140688638 -7.252764121421565,-13.017924431413611 0.7144182830092767 -0.5876724092725324,-9.086412521596808 3.3423205032312717 -2.2810489621849457,18.85427496759122 -0.9090260450753402 11.523844493336007,16.15244661247268 -1.5612985643569874 3.649695252401931,-1.7073065158884635 46.717514865837174 -44.48143392489846,26.64895618076519 119.79454530472938 44.389837446501765,15.513530324399099 9.538549943776824 2.4965406238741674,4.482095046630216 -38.35868529317753 36.952096284201154,26.438328532082366 -120.7043103246479 -44.84385381622761
-21.265833763303966 -1.4390455203479184 -7.497934748634053,-13.97632614600062 1.3272738868143543 -0.9517028770851093,-9.710548361072469 3.9132176092554816 -2.755183308479805,20.62558382408737 -1.6395342270501168 10.440561423488802,16.726026823655964 -1.2814346018186296 4.311852700642741,-0.8113390894641102 48.34809700422883 -45.16148761209804,26.579166771452066 120.04085721347117 44.52680189489098,15.98120326258451 9.80087691246265 3.093306523396344,5.127522404848932 -38.820653445697104 36.67535866310682,26.703293439996173 -119.55109105175521 -44.315616130711206
-22.3 -1.6 -7.6,-14.7 1.9 -1.7,-12.1 4.8 -2.5,26.1 -2.1 7.7,18.3 -0.8 5.4,2.1 46.1 -46.8,26.5 120.3 44.7,17.5 10.1 3.4,6.9 -39.4 36.0,27.0 -118.2 -43.7
