-3.6 -36.2 10.5,7.4 -26.2 17.0,-38.1 -0.1 -11.8,67.7 -10.4 -25.7,6.6 -8.2 -10.0,20.7 -13.8 -19.8,29.7 81.2 25.6,8.0 5.4 -1.5,5.4 -11.9 25.5,29.9 -84.4 -27.2
10.754914586907914 -22.49495301604976 8.386171415215477,7.166988938113579 -13.912184083859705 13.186304663391171,-38.76417712845455 -0.6339721834060513 -17.043303126625535,56.049456049118696 -8.301113903760934 -15.753108877941497,6.6274266669795034 -11.735120870188569 -16.549076092052655,26.216014578161072 -28.958824289726728 -25.732316580409346,29.37233338967094 103.74159691555145 36.873261101728254,9.374093961780577 2.10693225461929 -6.0705439604332545,1.7996995621596201 -11.472130162412542 33.00182688446837,30.000058809555416 -92.98243581686465 -31.497219784766795
10.506973788773095 -20.03036790092535 7.811145397667934,7.364780879609405 -11.95188299485663 13.208155077471062,-40.567038831082584 -2.406994098046502 -16.865077803073895,57.140378859518584 -5.367395684088055 -15.030724723427165,6.993590943364283 -12.232578660119472 -19.23691770896585,22.20683603427543 -31.913966652439115 -25.814033209415467,29.350107575422822 104.00038970623015 37.02298299092532,10.143985920421335 2.229852505092641 -5.819618430692061,3.8290016905155575 -6.222335059456991 34.86296364908225,30.00034074396961 -90.71622236520744 -30.38641739022512
8.865225989140317 -18.87513771945252 7.55426278140892,7.481399538367229 -10.947937729404236 13.273932747925107,-41.95643260875752 -3.831378655825262 -16.772215537099346,58.92300838348248 -2.963627228196839 -14.919275038855307,7.483401602250239 -12.319187424141578 -20.853825942344823,19.610978213039655 -33.08978573197968 -25.01920663197288,29.38495521176073 103.00792739440837 36.548966132828554,10.81939754613723 2.669085175305043 -4.964867502478409,5.434720699119217 -1.6607812052238886 35.92820507015155,30.000395239414438 -88.50528385249923 -29.298231038873507
7.807060990878475 -19.221460740022703 7.657550541821185,7.4917404019166725 -11.173943968050033 13.29734977291322,-42.07100509024592 -3.9728354404910933 -16.829645133905,59.708094262623845 -2.7131971040676457 -15.181216969956447,7.709220674259385 -12.14420484195363 -20.658495611122145,19.89030757907296 -32.51523518619382 -24.440704416859848,29.39666687741192 102.51959535765738 36.30770968609816,10.96501133826212 2.913456252401824 -4.463909630392667,5.537278824368595 -1.2404448324810902 35.7139822509449,29.999776837987397 -88.0262437089079 -29.062308269913018
8.357733862455234 -20.83959489178765 8.056573418271658,7.394463647912205 -12.503807770905317 13.244398297491584,-40.70826049176065 -2.594405329361407 -17.020932895742447,58.719297372706016 -5.037683488602163 -15.593476964603758,7.478665683883986 -11.854735788976758 -18.667828687302567,23.127011460401373 -30.611136988168628 -24.65391804290297,29.355863873632032 103.26976335169408 36.6601043114266,10.43190595913216 2.7140484875487325 -4.801211675206204,3.8889936796419398 -5.860329849335739 34.27572971584846,29.99864857080567 -89.85318195180974 -29.962782671454438
9.592628966256166 -22.6357091493929 8.468872809720727,7.236897012746942 -13.992913350011516 13.188134444399845,-39.01497331955314 -0.8871895494465768 -17.163023369194963,57.049823737261285 -7.897484652999952 -15.96261306309745,6.999216647702157 -11.593476426355405 -16.45145478058901,26.577840999354553 -28.60081775757564 -25.17450297422591,29.33726341714544 103.90186969199331 36.952087158246876,9.657668963570945 2.3590186017597863 -5.492276338512422,1.9458161641244236 -11.189176378662996 32.77270368941571,29.99841958980485 -92.3022869104494 -31.166633258249828
10.350263126162924 -23.412587298103997 8.585969498718706,7.072298406164791 -14.598544165006821 13.214534458240587,-38.30061231120753 -0.21456351586709427 -17.052969457733603,56.019479247838795 -8.956118948852108 -16.099242771158057,6.526982712802847 -11.502283455205689 -15.765660234108502,27.160014902991357 -27.80317691022312 -25.389342953486356,29.428106950696865 102.80714341893356 36.407163483240815,9.150829374560859 2.201664016816116 -5.934925108141334,1.3690466964773402 -12.265338111388198 32.496602154568215,30.00064453485064 -93.41664687179747 -31.705721943385857
9.995806646684317 -22.64932232477304 8.28824296746244,6.945846763915934 -13.871763563498648 13.356635502942575,-39.1707808693519 -1.2171769249961493 -16.63056369365152,56.300471100994876 -7.12960228125964 -15.934639510561457,6.225291443214963 -11.63918090981316 -17.397181273174947,23.588390331709984 -28.784770575733226 -24.9613443793801,29.653611175638005 99.44352373600113 34.76448601388573,9.175665160618257 2.4216027962386586 -5.796298712306252,2.910671203829558 -6.932756627342812 33.97964612486171,30.004893839079852 -92.18086234713606 -31.079630970100517
9.139329470651745 -21.423661951139206 7.90249550846435,6.8836240022248845 -12.76720744120684 13.522337731462017,-40.567290675592965 -2.827305715183825 -16.173005497891527,57.03421744350193 -4.294595094324149 -15.685282273319112,6.038153976810146 -11.864029780913954 -19.840938659234297,18.827069049271053 -30.333771336823247 -24.205873982321275,29.892379164117422 95.79043151365344 32.982091190590815,9.419095437522813 2.787911009171439 -5.380152726135069,5.173244681452829 0.3327984004857276 35.958810518920494,30.006047682303347 -89.8050735444107 -29.89353647070679
8.570281505394943 -21.043248794994195 7.819705859216259,6.908908543696696 -12.441348314749234 13.601516592218116,-41.19256962448967 -3.7313071953490957 -16.00600790945789,57.14187441172371 -2.7539116757774362 -15.608641582126694,5.877993683123841 -12.00818577146506 -21.26199359154287,16.45156794981817 -30.98256177914596 -23.532416826967474,30.001921067499588 94.19002601775057 32.1933649364746,9.48493924027603 3.010530172770006 -5.081981395306058,6.449890933164316 4.101117712406178 36.91272557724068,29.998318346259516 -87.82003708470356 -28.91188418839775
