-34.8 -21.9 5.7,-30.3 -14.6 -0.9,-28.7 1.8 19.2,56.8 6.2 -0.7,8.0 -2.6 -5.4,-5.7 -2.4 -48.9,23.0 47.4 10.2,9.1 8.9 -5.0,18.3 1.1 45.4,25.3 -54.9 -13.3
-34.452173262367715 -16.629328135191926 4.893387297276987,-26.684066923506357 -9.458142937932386 -5.233303615658296,-28.97868745676988 2.335522299953293 13.070732125813047,50.24788446017174 2.928770584974847 4.238151698720034,10.358992962774224 -3.4214977971491733 -2.4178403384265006,-8.969762086795807 31.856498682066622 -45.128004561294006,22.367366769919844 45.50319876039612 9.446876304389,10.920372125414062 7.791535827894268 -3.410808263611334,11.02239968599165 -5.100898618975661 45.758939910039956,21.680057268277515 -43.47111008467579 -8.700047341183824
-33.74587233684677 -16.558954499235135 3.829982082318373,-27.101265848302095 -8.756562015162862 -6.14746525480695,-28.312268290439793 2.9833501776293057 11.815623440324652,49.21320839223273 2.712870088492294 4.111428245984284,8.675560562304728 -2.9793723034767985 -1.9437027533968436,-7.6221626801488815 24.327611987691856 -45.42379472923126,22.13589383081819 44.78735028154629 9.175446898270549,9.129007564284931 8.319975594984772 -2.7595971149099565,11.01904962606591 -3.1166565269045003 44.61626756547389,21.333420261253714 -42.55744770258291 -8.391691200327372
-32.658019723627206 -16.53831312659359 3.018159943495594,-27.26248597490487 -8.274837186624636 -6.965439963223822,-27.697014467145127 3.724456079555011 10.995401609291271,48.205135783053954 2.39804902384097 4.009653341965807,6.811637133663576 -2.645309559411166 -1.5250893682494435,-6.448167411755101 16.161476799799683 -45.957326830635736,22.006488401688415 44.3530558955324 9.015934004732758,7.156274766968471 8.781846299544993 -1.9856999056839377,10.418346302924276 -0.3997894964260471 43.779023021226585,20.833038830041847 -41.21658501377762 -7.921530277973694
-32.02635206177961 -16.183119334748298 2.788686091360029,-26.803577806227178 -8.266856505534701 -7.210109866887521,-27.201905817114973 4.082887518289999 11.058066299390392,47.0975842689186 2.3036052133348495 4.284390114032843,6.112219874442849 -2.6652215259564525 -1.3852614780122685,-6.059318313392521 12.855059157923233 -46.30542877281406,22.034431764327195 44.375147752751786 9.032043688379877,6.391568788351504 8.885229538504687 -1.362547396958555,8.929190092714157 1.0857293635263154 43.65316022327927,20.4835516502281 -40.302490552080464 -7.589094550299516
-32.00747757731142 -15.421578597581767 3.1283283171139553,-25.629682397663526 -8.63428492716599 -6.785512875822087,-26.77211953334996 3.9366925052013237 11.903308318954634,45.821339677590515 2.5140876348746617 4.93423226264959,6.887534166962132 -3.0542907655779516 -1.5475836137444456,-6.485123044750192 15.39970374212538 -46.34928601312047,22.22133226453602 44.87696885365846 9.232419024232167,7.156807910485267 8.586686038777515 -1.005101122331895,6.782479688874829 0.6787394382649565 44.18501376807666,20.4054860073071 -40.14155353302548 -7.514581126190324
-31.9527379798781 -14.551339000404294 3.6171622255809623,-23.964310528914037 -8.862370382306246 -6.046309696750563,-26.206466695671324 3.5824374147053057 12.782578356280197,44.37442046076557 2.8365126006657473 5.540474113697581,8.224442692877457 -3.5549191793884103 -1.7990916382774795,-7.066977035546615 19.459968173587377 -46.32991181722224,22.505343226475436 45.70276360628185 9.560604669813534,8.51188216103926 8.136541872476093 -0.8409718012649667,4.826248173083463 -0.7416651293800101 44.777531622830544,20.501702833592066 -40.43643062540818 -7.60617018711908
-31.17816630613921 -13.888808645858003 3.8169446425772753,-22.0510358585968 -8.424131627283598 -5.369185234275296,-25.30235170942273 3.3370784308363115 12.923720419279633,42.76245364509971 3.0642754380106187 5.668454481099155,9.150111680920622 -3.8967053070634328 -1.9163340764189898,-7.11805496580813 20.45312407245525 -46.504194621216506,22.820715556723748 46.68479520260067 9.955616260517207,9.455105389358353 7.799266350022989 -0.7882561048357858,3.9314216773086805 -2.21630438470913 44.81287052523888,20.664150409620728 -40.859106753620935 -7.761437981643888
-29.477262912233805 -13.640583638191805 3.509821856377849,-20.205001552681352 -7.296690017513422 -4.960280038519083,-24.15771607839596 3.3563930139861955 12.144406602468429,41.15000508911848 3.0933944317354714 5.230837597728919,9.158776038432743 -3.935041691794853 -1.8106544136718037,-6.442757892593115 16.369560707447917 -46.91983875178755,23.0915459002069 47.585425434153755 10.323634864832972,9.46692250601461 7.718997487924492 -0.8207163114177662,4.4252796594285275 -3.1639313087580443 44.12482803352328,20.85545935140962 -41.30965862881116 -7.947895707862727
-27.289434338735585 -13.864709079327037 2.7760776632686697,-18.83816826710832 -6.139104651699973 -4.795026402128905,-23.277060588285607 3.5781199648255964 11.06021409951191,39.91664923992108 2.958713709243073 4.610141081101904,8.376509828570558 -3.695491947172578 -1.5757434820305956,-5.510005976022984 8.680518359879358 -47.341569356850854,23.228194463497694 48.072455176993486 10.5264237472231,8.679993602493754 7.877092053058565 -0.9874177799210184,5.899669570528916 -3.514557371957951 43.158170430293325,21.1338776204007 -41.99671998723185 -8.227660863766856
-25.097723837080228 -14.605380763840554 1.7183290538016807,-18.362510578959693 -5.650761035245001 -4.832697810423791,-23.18561733404225 3.9242886738248517 10.337240147262726,39.45232535869024 2.7060156346953415 4.21917218031577,6.9765987107206335 -3.216745956887476 -1.317647052009966,-4.832093362957197 -0.8908517720091034 -47.51924742721695,23.142465303233394 47.81532965502184 10.426025103937866,7.275569084725415 8.242503840710773 -1.341214275786997,7.892038109198947 -3.2377194629306945 42.39845032814163,21.563240708908342 -43.14707306947699 -8.668345020873526
-23.252477825346894 -15.708511325205748 0.5094239305370702,-18.77849488559485 -6.046272015391802 -5.045620436129494,-23.920970397271827 4.3029855230183545 10.274525230143064,39.8531449509022 2.446120728453965 4.2870213525885035,5.274035782183765 -2.600315161772045 -1.107094078433619,-4.693581929964468 -10.331607346089607 -47.516086298061474,22.891296652827137 46.984887712835146 10.090391437470483,5.572548870263936 8.733289923974567 -1.8415498797974086,9.807974713954959 -2.4970414923842847 42.17629848701179,22.13540390121941 -44.76227315058094 -9.264278121399474
-21.89836262991221 -16.71267449718567 -0.568931890352166,-19.44874990580309 -6.788852819238128 -5.426352117452211,-24.76484943889616 4.60068523136477 10.602171866307954,40.759786500688136 2.3906586529902882 4.758018027724632,3.803460669027833 -2.045084416228303 -0.960072451804384,-5.026048534662884 -17.17962974720993 -47.880995438325925,22.756584719694747 46.52912830710602 9.906636224990743,4.103189619682017 9.188617456545604 -2.3030836615113475,10.848690070200448 -1.75698225526028 42.582216795241465,22.730653159178097 -46.49477370896079 -9.896203582145647
-21.16076924275661 -17.134211849904123 -1.2276201724315705,-19.685542446654868 -7.2807852245232665 -5.968660945880961,-24.939823425837524 4.703108938648546 11.002814970070988,41.77593494661128 2.7575400050977374 5.551149987902558,3.1138946183358223 -1.756668082619314 -0.8875674131063492,-5.730859840068919 -18.956385908506476 -49.19844487866337,23.03681045479205 47.453566524853095 10.285500962413714,3.4136131936595984 9.442060915937668 -2.529777396147017,10.206901874850802 -1.502627562192957 43.68331435378049,23.22043007622227 -47.96908874139825 -10.4358274172165
