-20.6 -17.2 15.8,-14.3 -11.0 8.3,-27.5 0.7 12.4,42.4 0.1 -7.7,5.9 -8.8 -6.1,-6.8 -13.0 -47.8,21.9 44.0 8.9,7.2 2.6 -6.5,5.4 -2.4 41.4,20.8 -41.1 -7.9
-41.748287763122136 -27.499640317245138 17.06243478410929,-19.285379423188324 -14.380275889659773 5.203120181542685,-23.761992376349326 0.34135388197209043 18.509781176342035,57.05648095610498 1.8456917294281165 -3.9008987545628715,8.1232803919868 -5.6689661041820685 -2.5407954071268195,-6.028065867112037 -9.919145123578888 -47.929352076065015,24.07154739767882 50.79452098491943 11.607960768087908,8.607251908579139 5.8230454234599245 -2.578702923742109,10.737879622176546 -2.3565338280462687 43.68032899040212,22.66087353093226 -46.40271710179381 -9.773156473084029
-42.286703205059545 -27.70120934995775 16.505777011480987,-21.05755377810044 -13.660622263866932 3.71216091651554,-24.239135876413062 0.5051783033451248 19.73606096822304,59.246790583783586 1.9317126027836617 -3.1539553201826798,7.491867812486275 -5.449347596884121 -2.079988219808351,-6.512959672942964 -7.181293545451544 -48.67283764510122,23.229923442697338 48.2009783696454 10.586716321510698,7.934182684750467 5.890820759429295 -2.8426953514790148,13.34919670576311 -1.2502755084935684 43.82943339871397,22.782824649695158 -46.782732108049615 -9.917558377570595
-42.87158198233205 -27.98702551376803 15.958336816903033,-22.91898733769106 -12.992278789120103 2.417471360458925,-24.860224706858 0.5719810018688151 21.24974241857267,62.28914773384025 1.9274516804134407 -2.217177108549708,6.2729752943056125 -5.147940330462022 -1.4294486284066032,-6.983387034191409 -5.637178850703942 -49.51025268423251,22.463117388609504 45.823540142925005 9.63789985682694,6.68074103838232 5.964975073402159 -3.2825355753202463,16.20915715416784 0.10657798064417581 44.13251347115094,22.955423507007815 -47.28502565637578 -10.124177606036648
-43.186565267363406 -28.13641512351469 15.541219581033397,-24.07123121536849 -12.537386821580565 1.6454945759465187,-24.922683670837603 0.6276735499468347 22.44916448375222,63.90676561957627 2.3793406362835827 -1.0888727374591742,5.181890384687768 -4.916135680013579 -0.9053848954460956,-7.074388219431396 -5.550338104334166 -50.117242843554585,22.122862269059084 44.75108310023797 9.188271856574575,5.584414009688443 6.020322350977955 -3.6171479759732086,18.195460192728568 0.7276080558262705 44.14776052048882,23.241326337029125 -48.10589406906695 -10.473299880628588
-43.144784579465586 -28.11516643003215 15.312763723777035,-24.334063485893104 -12.377007179209889 1.453866659679504,-24.49630163747995 0.6955576108741951 23.03092100406112,63.738793930903086 3.097613839457766 -0.13387197028189118,4.591103457797154 -4.8141670487799715 -0.655994684165323,-6.822058196628884 -6.522049119439184 -50.31915615811796,22.24012967380187 45.08964215554596 9.288706928342956,5.021580269567145 6.042055004377928 -3.7545052928097737,18.94245269357924 0.5186576932783544 43.839335193908276,23.59841861681523 -49.132629536447254 -10.914880466488007
-42.93068722603244 -28.10951297868643 15.257101199916955,-24.258163272836363 -12.496342922037632 1.5824257060619327,-24.563997671092814 0.7249140576953577 23.04421872915278,63.68950514879736 3.022133747188878 -0.15032551311605036,4.4678316968901255 -4.794495999881125 -0.6308445224654341,-6.736640294693274 -7.370631326419959 -50.118326846063106,22.466669821783313 45.78328387311952 9.545687252008005,4.941696820392527 6.027635378028001 -3.8260833672368064,18.979030930928108 0.4404493077103532 43.6513568444554,23.86072021897883 -49.887203002335994 -11.244790977166012
-42.74357647554359 -28.31473824683854 15.354868501010465,-24.427478669475448 -12.872861624591748 1.756478549418977,-26.137436640076125 0.6613216337847901 22.561523394026842,65.75269554425044 1.0707206374428944 -1.9395271445393383,4.755873381561218 -4.804246473186845 -0.7687179894565317,-7.342861343622959 -6.895023231527728 -49.52983482195253,22.438040935410754 45.72636664304137 9.54633497129314,5.2698364201273415 5.975362749199752 -3.973943456842909,18.881308580492302 1.4952301472867386 44.04741440509574,23.858075039070606 -49.87898208802102 -11.253697300475388
-42.748125671460315 -28.76914190053491 15.620390679914847,-25.0446675736375 -13.39019015297086 1.8643109405469733,-29.205172293631673 0.47477471142225214 21.77885292429792,70.16126446570777 -2.6350697469307813 -5.369452253649911,5.398369958427513 -4.828332590847301 -1.0377246057066583,-8.615297887422814 -4.9960936141915795 -48.676474523756255,22.033242518515305 44.555146290656005 9.146611945598973,5.9425636046172325 5.8890123671432155 -4.2411283960464345,19.035982288948237 3.8580710394954556 45.13932021537494,23.547311725949392 -48.97961432528915 -10.889760522994473
-43.062161636396546 -29.298659721535937 16.11356585637715,-25.796587774413428 -13.80500994380977 2.0146825470664242,-32.37171852672689 0.16829653222244112 21.05936364597549,74.76601270528985 -6.345297584274621 -9.045505797566072,6.337574326419174 -4.902790115070453 -1.4456453125895699,-9.784296535200568 -3.065375743794114 -47.82675397859237,21.46059552333573 42.909499459114066 8.566159867255523,6.911988707507744 5.779767242901476 -4.536731303150368,19.573509950070747 6.585058655346532 46.56301178956868,23.057040816248147 -47.55083070324685 -10.31419740810129
-43.79815445543746 -29.7144603880932 16.893747311594,-26.338402819275245 -13.866647004618837 2.328578611241098,-34.1598493869713 -0.2521802590411022 20.77285114044688,77.27570106059206 -8.214782223526303 -11.49812488775789,7.514156949751169 -5.06652159654526 -2.0023498621730322,-10.038491440449885 -2.582433471335948 -47.25748942275765,20.95032054160323 41.495565777653624 8.048836912092575,8.129713660459041 5.659507613007845 -4.761111021530778,20.60523965764524 8.66313614457775 47.924147330508056,22.5281790574675 -45.98964020906224 -9.703261998346951
