6.7 89.3 0.9,-6.4 49.4 -15.4,38.1 -28.3 -1.7,-68.5 93.5 -61.9,-21.3 0.7 -11.1,42.7 58.2 7.6,22.6 133.9 50.3,-18.5 9.2 -26.7,12.3 -26.4 63.6,24.1 -50.6 -11.5
3.049198157114162 94.47224415310612 3.0982417584875734,-2.8376708564010404 66.39020468000226 -16.30778448754972,33.64006762085159 -27.901877216675796 -2.095104136770706,-66.61502197799761 66.07463201600451 -40.67775117183818,-18.36595407545857 -1.5912936512149387 -12.078610969299264,27.786631381963684 48.21407335834348 -4.610551487726666,22.707171174509483 133.8754045105489 50.40578999957394,-15.429055941062225 7.801247055334957 -23.92720343531803,16.510615572377105 -32.09652299473367 60.08067005714082,14.348646146505862 -26.204309603375478 -3.382367958303533
2.721611306817531 94.13012423791693 3.47252697100319,-3.194299579317788 65.84445521152395 -15.996142833918242,33.5247287129316 -27.829529312727775 -1.5732217710263388,-65.62704050399071 66.07881560393017 -40.64570459771667,-18.20190512971072 -1.6052091031533993 -11.797797961797645,27.626331186918897 49.3255829021396 -4.411878015531221,21.910513806568254 136.2805866020001 51.34095861849263,-15.30280408075158 7.666254239688728 -24.027563217788423,16.16525280913194 -31.890522405202546 59.931868265233184,14.56724946120494 -26.700053126060197 -3.5060608552556523
2.40566671452783 93.49600821691855 3.1846350597179676,-3.4971236701592554 64.9391125399931 -15.996505379672309,33.32147970261744 -26.92809159485821 -0.7080750302152992,-64.88186032877371 65.60210204054957 -40.047091553879085,-18.352370702347592 -1.6973613098337135 -10.671431487872635,28.338974257988415 50.00727222887314 -4.463278107927646,21.801866935342677 136.30717761098188 51.28293621430265,-15.61684576826996 7.434010664599753 -23.606451874814393,15.668269212930518 -31.739641514609865 59.105013948541114,15.025281346042126 -27.703060031164274 -3.750995095772017
2.791251242217153 92.03445913683606 2.1658701870517354,-3.8907379773067663 62.46820884892501 -16.21637063449236,33.8879595937868 -25.331780506098475 0.4118862007851966,-64.97390650192564 68.20959683235675 -42.08904572421418,-18.36069461369262 -1.9071993096264903 -9.068277100797866,28.552330982807653 51.29007524084381 -4.752540535616422,22.518800935525213 133.7907263369588 50.21058195023111,-15.88061747883656 7.209944162525925 -22.316662569992605,14.45459654440155 -31.696397540716514 58.28425107184515,15.488921491863648 -28.708886418961715 -4.005278689862588
3.9540347685437904 89.84948776102316 0.7018209671639791,-4.412962994536238 58.492884749281416 -16.51898597860502,35.35972410750278 -23.548344990917414 1.5331379263105163,-65.88705788391329 74.54367011424307 -47.346945633465836,-18.091282913641006 -2.1675733939688837 -7.531301867470818,27.624442732346996 53.44028738658889 -5.098265003480855,23.85972934789631 129.4792282355581 48.446343197089824,-15.878486931698507 7.086933289138992 -20.478990327205835,12.629984707905372 -31.699452527774334 57.936266979900175,15.81866599152786 -29.41829455130735 -4.195740497899266
5.243526934314646 87.80109421590097 -0.5030699183611209,-4.975384850825713 54.572324348141464 -16.715282735269614,37.01864340639895 -22.527144137198775 2.2069966894487014,-66.88337290700078 81.79127761499043 -53.28476780309781,-17.78811862785486 -2.2853071023019957 -6.809423220870801,25.776716374397747 55.82020755229296 -5.119026834771568,25.222096326402276 125.19942210371161 46.718875719989036,-15.719860298278256 7.14302017249074 -19.203977772452195,11.093260771151146 -31.552862831618878 58.27066014624791,15.986516843426585 -29.77465241270829 -4.294987244872645
5.975783602370143 86.77979216724812 -0.7363369827010389,-5.481829531393601 52.33006791596037 -16.618335958411375,38.10449837488769 -23.216685713755826 1.9848907709894639,-67.19754872921371 86.96006814553662 -57.20766834967999,-17.712928878933592 -2.065840040929201 -7.640757799912701,23.288595796268876 57.745613661168775 -4.431134852305664,25.99062740155018 122.80828566499538 45.76736696558285,-15.532572005013952 7.451528203882823 -19.62008159015991,10.77165135628633 -31.059835453821005 59.4690001677122,15.972981139404256 -29.73980012346675 -4.279714159018773
5.828589721669404 87.11546999387919 0.02495266581012992,-5.816056471794646 52.44473690899406 -16.26153259021693,38.16457320820024 -25.441355740828016 0.9037464470594517,-66.67520328266046 87.9208156856441 -57.31040359218657,-17.949329949353668 -1.5660174990454532 -9.79539087782302,20.78844406256949 58.774678915488444 -3.0469333923355273,25.99522096466697 122.79542519073581 45.77964020232563,-15.429872547964745 7.921044563098659 -21.674533842893066,11.85022615142155 -30.31891836761346 61.15053784715021,15.846689362455942 -29.465920256356146 -4.188252125511681
4.969068556658085 88.37961581300456 0.8709489839423783,-5.834679566937654 54.31668957891844 -15.97629214039524,37.162135106244584 -27.50485566017316 -0.3427401186742577,-65.98839327354113 83.71190896427483 -52.991159380713526,-18.339994106248888 -1.18278026297568 -11.733878425369335,19.37663362010403 58.793482959357156 -1.514514007619318,25.667994432791033 123.80070008709076 46.1976466399028,-15.505283636651138 8.237305287070678 -23.716634635693783,13.510082983225507 -29.828189634112857 62.17383279070418,15.795483177191365 -29.36268602737455 -4.142311248110106
3.602076279606331 90.08889382855533 0.8371375564128132,-5.396679331787144 57.25053230540275 -16.11044734307754,35.09819789473256 -27.625625732482327 -1.021486730650555,-65.86039739107004 73.50685364059393 -43.7761544969877,-18.711364772073104 -1.3313179259870345 -11.844737508844165,20.16601567225949 57.719480533379574 -0.41463230757812236,25.4803195124637 124.34253049765341 46.41430892165958,-15.848465472330867 8.075245618943706 -24.003495070675083,14.867053253565967 -30.105745612002515 61.36219396606723,16.012999870857133 -29.85214300979616 -4.267819730055838
