2.5 97.3 1.3,-4.2 65.9 -15.6,31.7 -31.0 -6.7,-70.3 53.9 -27.4,-19.3 -1.1 -16.0,24.3 54.6 5.2,20.7 139.3 52.3,-15.7 8.7 -26.0,17.8 -25.3 65.9,22.1 -44.7 -9.2
0.5874182465604247 95.78554420775548 2.6938873645553643,-4.8151639375683395 65.595279181651 -15.01292628181651,30.922863790433617 -31.47797350222675 -4.604639390011468,-65.2138448262265 57.322968229908504 -29.579054299348194,-21.759397385983686 0.5646260510009473 -14.94254049015465,42.26365729004744 47.441677917338055 3.8954461652722743,18.629779902571862 144.32299433916899 53.99552346172055,-18.440082187223464 9.31610903977867 -29.14051019940586,20.436531389982907 -25.294626303073375 64.14107591629373,23.185638875862672 -47.730388949944874 -10.340119886482968
0.3016734717961116 95.70598489462317 2.529960970150818,-5.005089823536884 64.98732509833913 -14.969222656039213,30.63781517115291 -31.236831642903496 -4.422679009006924,-64.85132632651323 56.174699523289256 -28.41400931644776,-21.7429655366012 0.4365838742274806 -14.780386927499343,42.05388934110009 47.19199172053173 3.6283927629822355,18.973247402213683 143.5287021141835 53.74923990527561,-18.441763107146784 9.28087966133952 -28.715982322328454,20.42763460352173 -25.119021917383765 64.23320384745385,22.61261168359493 -46.06494057657774 -9.696044702989587
-0.1220380994659848 95.03054680984415 2.1943157658071497,-5.615571111916151 62.43859567565916 -14.768691947964944,30.520451454310116 -31.069570558869295 -4.030771098785035,-64.09527232921346 55.96506001118325 -27.71037557848312,-21.322140057715348 0.11354623602783051 -14.84458245955108,42.095277056140944 46.63776308312221 2.6233754207007602,19.088990299924504 143.24671004488587 53.68181253364812,-17.987250129471388 9.180974826194907 -27.839289431063975,19.876484367059724 -23.866311728172704 65.19771106318697,21.90981506547225 -44.09086890214577 -8.9543614220942
-0.5228698135585582 94.24024337613366 1.8852408454711718,-6.290406021971955 59.66768510319338 -14.527965567756898,30.500788543440517 -31.02424422105351 -3.642190409774918,-63.29264539149873 56.294206037225756 -27.414097963243172,-20.883237600767597 -0.16934835763633752 -15.004676328342647,42.4100335273688 46.1513561078813 1.6928086853577198,19.088962795786962 143.23072273974884 53.700618204414056,-17.50140630640624 9.097681843107082 -27.09170611567925,19.300653258745285 -22.419087154758017 66.32400847949123,21.446406665074022 -42.7892171994414 -8.46727775670136
-0.7171831845584877 93.88385316646801 1.8158107445738365,-6.627476003136847 58.601860415637574 -14.381388242490791,30.496179564579705 -31.14423865815345 -3.501931345678561,-62.8508190548099 56.66342087970458 -27.42446554123145,-20.848734012740092 -0.15931025030036788 -15.112889897552463,42.93611095570087 46.17083581188945 1.7430012355751996,19.115462139311575 143.16485924821754 53.68879947135226,-17.449460966141395 9.118180048549128 -27.099520653933467,19.268970931529775 -21.77149717074669 66.81799951730783,21.613235405605522 -43.1950197421472 -8.605102704288143
-0.5881360681177357 94.241786591107 2.0602751731801363,-6.393568421254263 60.133712772157956 -14.422200613873585,30.47879171139082 -31.37963053986077 -3.7219948966424035,-63.043520873243544 56.75409550471409 -27.67077652189247,-21.3327943459482 0.1945213218375761 -15.082027337946514,43.42334522410984 46.78370524797957 2.9580690794428475,19.20356488338787 142.97306707151992 53.614578499750394,-17.963823456113836 9.25302170786684 -27.992305797858805,19.929381488528428 -22.43086031908244 66.28292487593178,22.41071430881258 -45.31944211065731 -9.37323990728052
-0.15567812571669737 95.04486459568982 2.408585358716184,-5.701372001076331 63.036927144495756 -14.659466526920475,30.533045560263737 -31.489408889177216 -4.1420256815720915,-63.87078562791697 56.616462274114966 -28.14378464068151,-21.81819592451175 0.5294782192750896 -14.948959968105259,43.23632999674875 47.3595538375879 4.0431544185712145,19.168770993818196 143.07043688182426 53.620411453690615,-18.49532318825132 9.355834991647637 -28.882413713074996,20.56790017490465 -23.90751818001407 65.13572975624177,23.03968518098977 -47.07687565816239 -10.02980563731651
0.5432671778560267 95.95674826197812 2.616326307618624,-4.706059053571954 65.82743368228346 -15.091758073606641,30.756876260340686 -31.209643745620717 -4.568303929465894,-65.29841541554752 56.34620269214678 -28.841874039624273,-21.711579775761905 0.43308883464960546 -14.76549984721931,41.694350113085086 47.18173986913065 3.5253258979066477,18.80041251740421 143.93055895691296 53.86955481797222,-18.412609030790968 9.261339950641016 -28.759614569137355,20.366631421656045 -25.59042226525284 63.892288988191005,22.604934010877944 -46.129761350289364 -9.74311780161105
1.4089745385944938 96.67860536708243 2.56342138955922,-3.5991860933117406 67.49468436077248 -15.665941251283318,31.183820008147883 -30.410292796654943 -4.802635842221987,-67.09058960049005 56.11922002624622 -29.79295870620792,-20.7478595600315 -0.2747183408276862 -14.513364749810064,38.63757253368424 46.001710704291476 0.7759913589707459,18.088677971783017 145.568768921341 54.375979821219396,-17.440996307903937 8.889950298871227 -27.164993949475296,18.962931560151027 -27.05982555510163 62.871628051191394,20.727960010304905 -41.47983889286194 -8.157810603974596
2.1932681251468167 97.0002617397394 2.4237040861047414,-2.6583143487257916 68.14743857676383 -16.206659569718852,31.695187227917035 -29.27779637086279 -4.636251949263889,-68.5348932097815 56.30104515985047 -31.09475506023415,-19.43791738204359 -1.2246691659062394 -14.008584093931136,35.1374215600702 44.67737922610499 -2.837598550954931,17.498538928526948 146.91718340833899 54.800778297434114,-16.148885898736438 8.364641803669864 -24.94283277293357,17.070278027883433 -28.348178039511218 61.92746137230796,18.251665321487312 -35.29467253973787 -6.044431219784459
2.6267618551725778 96.72451092815854 2.413282075472936,-2.173250890847983 68.05597692324541 -16.521032582672465,32.15042213853921 -28.044316402666702 -3.8591514574044394,-68.85072164476685 57.28445669716857 -32.85499281020266,-18.404398935772747 -1.9683611071938287 -13.04356252313747,32.44226702888691 44.22598137258618 -5.660685436056624,17.563223054552967 146.75212039246406 54.75425641376402,-15.226070102069277 7.837620154711623 -23.12515666676502,15.557125176382659 -29.553116901084323 60.84656201398815,16.194879049994704 -30.197813846884507 -4.335684867228133
