-25.6 -15.4 4.9,-24.0 -6.2 -1.4,-24.7 1.5 11.2,44.0 3.4 1.7,5.9 -4.4 -3.9,-8.2 6.6 -39.4,26.8 60.9 16.0,6.8 6.8 -5.0,2.6 -24.4 20.1,28.4 -69.5 -20.0
-34.40049853994955 -20.542992699046902 6.393888410380444,-30.669822470372136 -14.538269726106686 2.267991874915959,-31.05580234961391 0.14969467922928215 12.145282426414562,54.89164348794587 3.813801951047578 -4.134920143298535,7.764708128962408 -3.3335749848797986 -6.096237560887643,-15.60118119255231 23.663829925560247 -44.178726526543684,26.082682308778335 58.10414342571206 14.724037789960597,9.017625667634478 7.888209578628938 -7.041882285022432,8.945331902082224 -14.13608894886424 29.51237841249521,27.05428707163665 -61.932195752829045 -16.44820676148048
-35.835128489803544 -20.988208624049687 6.15542235426666,-32.18625838503429 -14.884723366373096 2.882540055124315,-29.15030447954511 -0.03716607877706667 11.66075629830395,52.00331430824214 5.022177342762692 -5.101422854201918,7.401675283402163 -3.1600637630354065 -6.939999099236583,-17.195338493639476 25.779458471448155 -43.240784515741545,26.45836297201097 59.627841816571355 15.40083119913041,8.715026177073037 8.393256128301786 -6.523313208187306,8.081521128221244 -14.073753664212578 27.827628265994363,27.34746787649835 -63.33235464158346 -17.106147608070447
-36.48186238068 -21.3551322709002 5.998299730726895,-33.25710952664063 -15.34599593540337 2.972636761960058,-27.931835260911296 -0.19413599927344002 11.84532028740471,50.4889156222732 5.803448560219962 -4.941177228178665,6.842208940743658 -2.9628509420510394 -7.337307023239534,-17.24795709332087 26.026698542309724 -42.75711135815157,26.5784767973832 60.01965987141497 15.571034464363732,8.220083641183297 8.725592960640828 -6.3933576017539036,7.913600973562716 -13.956130629295968 28.07311534324044,27.463998781677986 -63.94881738592882 -17.363763746900553
-36.437725244833544 -21.519024422377253 5.9216316035785495,-33.619021099503264 -15.692600232529516 2.6882321440413333,-27.65722436049637 -0.26186001630421085 12.371752547319275,50.494116733229276 6.020592312579304 -4.10956239545133,6.463354431330794 -2.8198317229469883 -7.281305943780812,-16.43400751859638 25.18771455247887 -42.748000491247396,26.45781959479265 59.4086030901941 15.294817591249252,7.87881307834871 8.825838680017814 -6.553500040660358,8.208304600501972 -14.107615619892975 29.08614387060267,27.42337120322928 -63.83614826033647 -17.270900720911005
-35.89070839312838 -21.346374656942153 5.898982791704278,-33.04115547622468 -15.659978677104782 2.224859487033761,-28.511987734308754 -0.17373219806495116 12.856809203615455,52.03794894387935 5.587982592299766 -3.1710129067570656,6.691212141857095 -2.810321041526806 -6.799353033756601,-15.60514108054463 24.301810850149923 -43.19845428286564,26.140100602686108 58.05366365493874 14.690473634590944,8.081991394230343 8.654473325101907 -6.847837166426539,8.67042076937179 -14.870464534086015 29.460909384529533,27.271112304355967 -63.167947297357955 -16.937384647840002
-35.066432315874835 -20.810234074654108 5.909571655216834,-31.559368653560444 -15.140046659957315 1.7579672619794282,-30.425245401009114 0.0791065130618545 13.046316054919563,54.872378464606314 4.566217810449922 -2.5530242025870162,7.726129346065185 -2.96704726892379 -5.991286579755747,-15.340827209765584 24.142531859881963 -44.004336138977926,25.700720399412717 56.304309980244575 13.915109940543234,9.019226414324303 8.227811356964146 -7.156904283468495,9.14790427573925 -16.36210427227838 28.415231396069203,27.04097506776489 -62.09121931764261 -16.450246249527257
-34.286194447831896 -20.15459991185167 5.9469913973207245,-29.887618873345556 -14.42257187749013 1.411935760351076,-32.6741983043387 0.35868644882213613 13.014274855884642,58.070324755783886 3.387690442765042 -2.334906728789281,9.19444749655422 -3.2042865478245615 -5.141237260346524,-15.528478506446618 24.807693812725137 -44.83486238932129,25.295658800285246 54.740057736707016 13.224524096504513,10.368628153357283 7.704133312181333 -7.453886601861143,9.85272765357758 -18.128305593601375 26.752572187462683,26.736775134187383 -60.68534745438253 -15.838556072778845
-33.886162046711426 -19.66583001945703 6.007079453573306,-28.84581099262369 -13.85953821057643 1.3030809479141228,-34.43415619789501 0.5041068479734829 12.886043480961396,60.5986185268566 2.542874533735587 -2.541389978733441,10.63269209020546 -3.4177854977223827 -4.562104969039864,-15.947112853189427 26.28908786100218 -45.323889784335584,25.093456492283043 53.97623271130215 12.88987318941708,11.728260089537828 7.2639163105157545 -7.726459364070374,11.053717422431045 -19.625387272019648 25.524461613096047,26.357659486315875 -59.01918491395162 -15.122335610838777
-34.0637376625451 -19.548105454876968 6.077377958884903,-28.961340993771596 -13.700391169346368 1.4639485159217218,-35.117769918875894 0.429455838387833 12.74689115369504,61.72373522061161 2.352587891633138 -3.1237989264175257,11.659862741638639 -3.5264496458238264 -4.456822031723429,-16.34261157053649 28.313517838908336 -45.26710364135041,25.192208876061326 54.364926673493194 13.065628138861118,12.755627699433418 7.0459885332217045 -7.940190701144236,12.837782277289824 -20.38723647155054 25.503278773296657,25.926522558042358 -57.23443872270376 -14.35482734066348
-34.60708430847735 -19.763254637853173 6.1209648666611916,-29.898948940342795 -13.892174046121491 1.6800320851155504,-34.837647496481935 0.2699758944988411 12.563859190800127,61.595850998511914 2.637304680434259 -3.816976761564338,12.138188560297664 -3.5174838789193914 -4.704008654877173,-16.36313090514192 29.826297177463797 -44.9374478607762,25.482256824246406 55.48191175628213 13.56213350915887,13.283540514127534 7.066348714557927 -7.995451301713345,14.75532586429829 -20.176502067693562 26.63814210490974,25.53629385264811 -55.687673589810856 -13.687247786189285
-35.22929292484853 -20.228648126119612 6.096430350781505,-31.165126823294244 -14.326456604238105 1.6915053368079471,-33.83479911205527 0.2014786775110371 12.282300843129912,60.52725061297921 3.1257145929052212 -4.316054635334923,11.97451737082291 -3.3906221139469346 -5.122792300891391,-15.638900136198352 29.6293804697596 -44.69541602448349,25.815830123785528 56.760549794998084 14.126606340365976,13.176966342575698 7.318463403214146 -7.780651848830587,16.258333806764952 -18.797797639529367 28.72714875066094,25.29275030713995 -54.77486833318351 -13.28878611115102
-35.64345445199909 -20.861656477410246 5.9623645851251865,-32.26636663358293 -14.89480860703252 1.2385419523112624,-32.350234946937995 0.39977584862894266 11.847569361537651,58.8302188164352 3.546507321812311 -4.316163698890356,11.075696997854791 -3.145598267844314 -5.532300432156397,-13.800148542898427 26.524722308886872 -44.90150171434285,26.045158561625982 57.63420262497027 14.5062636725381,12.300872993733474 7.795799147880079 -7.184203025548854,16.798791727998417 -16.05573676613862 31.568395853275923,25.301668858524664 -54.89200177073222 -13.3286314792835
-35.56265983026945 -21.57965024945906 5.677357743571569,-32.70916036216587 -15.488799817841056 0.06131561293782051,-30.624965182472188 1.0406790690570946 11.205017996876592,56.817040361301544 3.6283725599218117 -3.5124351033916863,9.348575266033674 -2.78214625754938 -5.7516605110625,-10.477105404434733 19.314277287936573 -45.91619851222484,26.022471924715052 57.53623208152785 14.44832254573089,10.520228276556377 8.491822497245463 -6.094515514921019,15.828685251307235 -11.754933026601906 34.95998055548043,25.66882644380909 -56.43505272036755 -13.97597305432156
-34.7 -22.3 5.2,-32.0 -16.0 -2.1,-28.9 2.3 10.3,54.8 3.1 -1.6,6.7 -2.3 -5.6,-5.3 6.8 -48.1,25.6 55.9 13.7,7.7 9.4 -4.4,12.8 -5.7 38.7,26.5 -59.8 -15.4
