-0.9 -12.0 -2.5,-1.3 -11.1 4.6,-11.9 4.0 6.6,23.6 2.9 4.2,2.0 -1.7 7.9,73.1 -39.1 -44.2,29.9 84.3 27.2,2.1 5.4 -9.6,53.2 47.9 49.7,26.0 -122.3 -45.5
-1.386384296104003 -10.881752423216456 -2.21331088275124,-0.8504555241919096 -10.541354259353648 5.037788747208248,-12.864715708988863 4.0161263723340195 6.318655164270043,25.62527858150939 2.4269382743824024 3.7423791686462944,3.529266530947607 -1.8845531098796506 8.207149869821514,72.778745219013 -36.64480314939641 -44.71322845590487,29.900013264723384 84.503132134243 27.301215047385703,3.6347124433969333 5.308430853658474 -9.030280637391014,52.976134339890784 45.860192423275414 48.81357673310359,26.18187956637492 -121.67969878016282 -45.22805902783899
-1.2816953529846091 -11.286155385655864 -2.270958570356599,-1.0318660151272445 -10.743499725886025 4.8124337556768655,-12.411249603785292 4.073497725963529 6.423844475192576,24.69512341183664 2.550573239902558 3.9068059554426524,2.867921213104217 -1.8164836199859904 8.168780408330985,72.71287598204957 -37.90539957444015 -44.68380174180518,29.900126599595936 84.4778823467947 27.287576025393278,2.9785263376935958 5.344849961565379 -9.186428270544894,53.18992219100307 46.8446635562017 49.25776180933625,26.105062511312198 -122.0099913390216 -45.36758313075911
-1.12111498630235 -11.752983902767639 -2.344686873472063,-1.2096254391034198 -10.976225316128202 4.597884940743729,-11.995935207087955 4.110440211944603 6.544915147752967,23.82675238446684 2.701449664117872 4.087904064986477,2.1762870203462525 -1.7408945855605982 8.075605707184263,72.67911151169251 -39.18980327798286 -44.65184686157837,29.90016064830401 84.4618573122535 27.279580927839522,2.281729193248238 5.3827669614066265 -9.380468768130164,53.347061843952815 47.79106306449964 49.666122055730504,26.029132616594218 -122.34711312494558 -45.524257466402574
-0.9557486995281791 -12.056874203317728 -2.421058316339639,-1.3214419630123497 -11.128888230776582 4.482067119627137,-11.758774704740658 4.0837311695960015 6.607863037739722,23.302342578751688 2.832253080469671 4.235471195884137,1.7018763115703421 -1.6898296017894794 7.97236300792554,72.72253285269998 -40.09316879041389 -44.74530281198176,29.899875305595913 84.53314719356828 27.31750263891084,1.8000918112544793 5.402806132122408 -9.535555820567883,53.403255031254595 48.25976653396385 49.794626135548704,25.998206949139337 -122.52507910421286 -45.61394052631618
-0.8225290802072525 -12.089228656182701 -2.491325886842787,-1.3359757248736288 -11.147306562691282 4.494865185070159,-11.761047572316244 3.984782670220982 6.584415470806983,23.253849024498393 2.9174736102594276 4.324317640218068,1.585975248329357 -1.6778889235756096 7.889022916089458,72.86520740532453 -40.27924750430551 -44.90346016464959,29.899359786527235 84.71698275430757 27.41308105115167,1.6805702926828814 5.399686581637543 -9.609104163251242,53.34555964433065 48.040313921428265 49.53854508573229,26.026632497083565 -122.47797465483914 -45.60184232593945
-0.7331690117587686 -11.949226739828875 -2.5550889220474886,-1.276963711962303 -11.077766579560492 4.562886078375121,-11.923951775596544 3.8666368475393167 6.527675697315923,23.5459172110822 2.970401100780105 4.373761835761528,1.7808479672477064 -1.6886336122495473 7.829279850076959,73.08825141281434 -39.533854089630424 -44.729922926056155,29.899289308409973 84.94453518556894 27.52728361120992,1.876492655296011 5.39320817179927 -9.619493644311511,53.216829647501676 47.33002701663143 49.04102869073139,26.07578249336475 -122.317953393515 -45.540990436199934
-0.696713109967819 -11.757214492085136 -2.6127867863481784,-1.1738204817015496 -10.976775208537179 4.6023372110945635,-12.154349265789682 3.7885159554307033 6.498917856104407,24.01572963345585 3.0082453274041225 4.407655329836781,2.218976860785169 -1.702473694242116 7.794147320002607,73.36857374161646 -37.65849758985808 -43.796584667988796,29.900392460911622 85.13727389150077 27.61586812228899,2.320907360091809 5.405653433708999 -9.591337414816422,53.06561036801831 46.36827463445979 48.470635567762855,26.10171365650389 -122.17522255202235 -45.493305418869205
-0.7120809545833621 -11.596362532729934 -2.6618548748357265,-1.055974432847693 -10.880769042325182 4.565857377842526,-12.374460404500406 3.784107244580425 6.527280105008535,24.51406113004991 3.036450470162944 4.441738488713641,2.7890025375163425 -1.7069935226818151 7.788732435813382,73.6851486837684 -34.91430371641571 -42.102657599060734,29.902358826128815 85.21580246303489 27.638155443432527,2.8996228406611904 5.4441319823013705 -9.541693248648324,52.931547526680546 45.39615779518456 47.974772381673795,26.08177702599808 -122.13535928678763 -45.49715062755019
-0.7574571280356224 -11.473710177826023 -2.6935767728461815,-0.9528823097357423 -10.785082762533536 4.48069297239637,-12.537957944935595 3.8348049939864985 6.576089529436736,24.91952221361373 3.036366020735581 4.47514084223882,3.2897822938317107 -1.7044697090070577 7.8265255646857765,74.02118030332316 -32.5036442507434 -40.52245706403279,29.902750209119343 85.09895139768771 27.560763193224677,3.401704976975923 5.484680913370085 -9.472146310493684,52.83606139647423 44.65832489153856 47.657528847711596,26.036932146713404 -122.19254310493238 -45.54264675809436
-0.8085144910708025 -11.386951116587014 -2.6985076467932894,-0.8939561488364447 -10.680051220446469 4.383212738799662,-12.602477142170992 3.9155823726043653 6.600689908144728,25.114389062185285 2.9864786440905418 4.504969333352717,3.5096359974431506 -1.6989771306908341 7.921952298420411,74.36024702824844 -31.741446321117337 -40.03557810638786,29.898880176553412 84.70588334840481 27.35146270772356,3.6048604679488534 5.49958384436325 -9.382426020954894,52.79828276649105 44.39922050582533 47.61733715163614,25.993454988301178 -122.32967791083487 -45.61398301505803
