-14.7 3.1 -16.8,-10.1 7.2 -8.3,-12.8 6.1 -14.7,23.7 -9.9 21.0,25.2 3.7 8.0,-4.4 61.4 -38.1,29.3 103.9 36.9,23.5 15.7 9.9,-3.2 -60.3 42.1,28.8 -107.6 -38.8
-15.662923602050743 9.258403705827437 -17.18543672252202,-8.75287328325601 10.183048273598448 -8.493078163559286,-12.703717919830284 6.004129122473893 -16.047126716739353,23.026385241259476 -11.728434316804487 23.982842672299068,23.082873643746336 3.315385682700254 10.020947076756062,-3.8224617201375413 62.845310608991376 -36.85008056928454,29.49256416028222 101.39687151764751 35.64843575882454,20.901668844348674 15.219155002884376 12.209741916844884,-5.89476743677123 -51.15726301248583 41.71471747845909,28.607641441018714 -109.23530475295942 -39.56953703657099
-15.585028115449454 8.768180298046625 -17.153763013846877,-8.860063183083096 9.945458447596094 -8.476547347993128,-12.71148764114049 6.011105745173304 -15.939936816929679,23.08007932864228 -11.58259408555642 23.745649395517955,23.251725626688437 3.345473194397559 9.85966654042939,-3.868782635402369 62.726682907338486 -36.9477162762623,29.47702471787654 101.59848771963625 35.749243859816,21.108972884051802 15.25691309847776 12.02525135425128,-5.679396263933364 -51.88755467877844 41.746093775193636,28.622784334197345 -109.10609447443628 -39.50876718926036
-15.142412325710813 5.934900323428295 -16.976750139276792,-9.47984619206463 8.57309740300279 -8.388085927849,-12.755750506431033 6.055420058561667 -15.32015380796539,23.389964402262354 -10.74148388857046 22.373262626792407,24.225643712327663 3.5225889654046862 8.930024182063498,-4.1343791195709105 62.06287498107276 -37.52335217850532,29.38849898750812 102.74934793849482 36.32467396924241,22.30423101971273 15.478298165700725 10.962813969335606,-4.439894556171609 -56.0930349220414 41.923125942838496,28.711335788692274 -108.35343926641626 -39.154574233361146
-14.749239562234786 3.415569005537937 -16.819668781930414,-10.030966842261684 7.352846504981098 -8.309797986944952,-12.795075003786755 6.0950333991219665 -14.769033157757464,23.665488621871113 -9.993668540495705 21.152867307220944,25.091540868832045 3.6802480090080767 8.103523733742245,-4.370434420292291 61.47376573299204 -38.03579822834775,29.30984999266265 103.77192929307557 36.83596464653459,23.36689508490048 15.675317812115198 10.018303923336065,-3.338014309733408 -59.83171450334439 42.08031561636258,28.790129205091127 -107.68387575394956 -38.83947277853153
-14.79737323014063 3.7242181721821987 -16.83888540911955,-9.963446516179095 7.502338593148922 -8.31935670836906,-12.790260219667848 6.090161938466457 -14.836553483777426,23.631735542882826 -10.085276954589938 21.30238773395977,24.985466849606226 3.660918027868956 8.204768799866352,-4.341524464098291 61.545838712199824 -37.972965162971136,29.319479560128052 103.6467165776839 36.773358288849195,23.236718808554958 15.651165962605843 10.13400042517056,-3.4729841159407875 -59.37375036504466 42.06107773533392,28.780471299075593 -107.76593253178955 -38.87809023325597
-15.230393610782265 6.498778157650923 -17.011893159858424,-9.356493454351206 8.846212493274505 -8.405590812572616,-12.746950473419078 6.046543882559084 -15.44350654553842,23.328297550127157 -10.908855823242448 22.646415789237953,24.031843127074833 3.4872936568764223 9.115005698895974,-4.081550372855475 62.19467558595663 -37.40862814937254,29.406099051800627 102.52050903103311 36.210254515534956,22.06639220181217 15.434193306994446 11.174205100357838,-4.686504852216733 -55.256279949627896 41.88795436832535,28.693697652272718 -108.50331583558965 -39.22510774283544
-15.637360084866728 9.102638860116265 -17.17472472085357,-8.78690297957908 10.10746954756959 -8.487067131388567,-12.706255555889946 6.005918151559947 -16.01309702034316,23.04349366469255 -11.681903589921882 23.907638250110402,23.136736552274336 3.3246004693978564 9.969434652721016,-3.837406811473011 62.805280967006816 -36.87988826244983,29.487488887261115 101.46247576334967 35.68123788168781,20.967845631723268 15.23081385013857 12.150710159085914,-5.8257722850729525 -51.390945983745 41.72514875235097,28.612342410223977 -109.19487863482294 -39.55054600776887
-15.619447077879927 8.977279948040767 -17.168224451691476,-8.814385181412128 10.046926645931363 -8.484712099411938,-12.708072432415197 6.008758001667239 -15.98561481873457,23.057106895753723 -11.645081268220904 23.84658386059629,23.17939311532426 3.333146688866413 9.928850709049422,-3.8486916777589535 62.780713148676114 -36.90785528263801,29.483855136978907 101.51022600407136 35.70511300201123,21.020098057943116 15.2413048166985 12.104547718489643,-5.772086599413171 -51.573650996644545 41.73203263710201,28.616487648307256 -109.16028347124045 -39.53422079956073
-15.199014448635408 6.2734217830864 -17.000863625767824,-9.405927372332098 8.737462558646367 -8.40212506688303,-12.750146936466747 6.052082082410098 -15.394072628072687,23.352721796245742 -10.8428541699462 22.53649498371823,24.10831231319534 3.5030066717858745 9.042318408779009,-4.101607284176216 62.152875754192884 -37.46013452203001,29.39970613205886 102.60478785667873 36.25239392827191,22.160014557234224 15.453395499454743 11.091635713978569,-4.59056418962026 -55.58306831209914 41.899862054854836,28.70126144273435 -108.44048720592419 -39.19543801686399
-14.779382628185601 3.592282306234809 -16.832731402459917,-9.992401438067482 7.438710879920002 -8.317682711937975,-12.792099368095059 6.093604522047142 -14.807598562244184,23.646012577348024 -10.046725441514168 21.23795830143755,25.030137090892907 3.6702789098076396 8.162338564936963,-4.353160630251067 61.52246054087826 -38.00368867236427,29.315801267653818 103.69533609784 36.79766804886806,23.291386499669418 15.662566420575367 10.085852322446392,-3.417078567733629 -59.564303196122204 42.06783303096039,28.78495131072474 -107.72885458233233 -38.86057104660198
-14.761799470410208 3.5204230202193885 -16.82317428386372,-10.007893146280114 7.403229090338155 -8.309506656164904,-12.793760607308467 6.091382911085018 -14.792106853230079,23.65424378114754 -10.023898227804724 21.204417940817244,25.056491965281836 3.6720703168321758 8.136674219154445,-4.361672025134504 61.487349385643135 -38.00878271304023,29.312478779342197 103.73658701986825 36.818293510015764,23.324106167345217 15.665533714582118 10.0556895997671,-3.381241584915541 -59.683778208406196 42.07593407897084,28.786332370341977 -107.71468878838206 -38.85407609298438
-15.161298307621811 6.127727097777158 -16.97983945406744,-9.437262834925805 8.665303788139061 -8.38361990579692,-12.753690164671651 6.046490374401558 -15.362737163593529,23.36953137909286 -10.796086248688521 22.46890369043066,24.162284345876664 3.5057609446630407 8.989605874805733,-4.119441119180587 62.075747922836946 -37.4673731136436,29.392619652395144 102.6923446220006 36.29617231124709,22.22713531531176 15.458551143015955 11.02943532588663,-4.516474585524386 -55.82946851389433 41.91746062131147,28.70378044580681 -108.41336633092675 -39.18307826439306
-15.593562013302957 8.881802059933248 -17.15351517842985,-8.834878369710303 9.999514831714128 -8.471494631934831,-12.710493420386166 6.004478616598247 -15.965121629053645,23.06819102518272 -11.614158195417437 23.802522239582334,23.21506653260385 3.334455196689591 9.893923189822459,-3.860705014724847 62.72680970267625 -36.910851617007324,29.479013143983032 101.56982172488452 35.73491086264827,21.064526267044148 15.244196772834023 12.063194755188956,-5.722724750179258 -51.73747941628427 41.74422926742007,28.617979448560774 -109.14341542585306 -39.52657850079275
-15.66622525315464 9.201492575467434 -17.19160006311562,-8.765759131874727 10.156777009678745 -8.50267882375223,-12.703574022155179 6.011435493027436 -16.034240869740195,23.031896895334125 -11.714405433907006 23.95284626643718,23.09926466024829 3.3241229012377596 10.006274725722234,-3.8243921272458445 62.86702620063355 -36.87987345026931,29.49285197560698 101.39685505442955 35.64842752694563,20.921065461511745 15.228679599110087 12.194570006686718,-5.878308582242582 -51.217163258155026 41.71134799202777,28.61107876709629 -109.21074391075216 -39.5576503045814
-15.31638980588083 6.769408333706135 -17.063650536167945,-9.29885790506382 8.981941228509159 -8.454837239494413,-12.739018539601034 6.065317915692128 -15.501142100337967,23.29614157486019 -10.999474701007237 22.76879151435498,23.927443103928592 3.488948291639259 9.218150266640896,-4.043973312101996 62.38375834328887 -37.419013065652145,29.421962987419974 102.32763085788798 36.11381542804369,21.93568533962957 15.431254226017668 11.297807330486034,-4.835158434744421 -54.7664646860584 41.84621174179516,28.691186724933612 -108.54134998750922 -39.24182796184412
-14.870671129621226 3.944503362243575 -16.88364454994572,-9.916650953570418 7.613168304893341 -8.362520860716966,-12.783524306944066 6.10717981569433 -14.883349051288068,23.60536857807145 -10.159813767725028 21.401340527035558,24.899629897023505 3.663666535573535 8.289808275366806,-4.310016485172134 61.70923162353418 -37.9863516348402,29.33295144603313 103.48345896161277 36.69172947999663,23.12907905089127 15.65014775661655 10.23627851007388,-3.5962675010650367 -58.96840468683772 42.025226276564794,28.778876330205176 -107.79433592165144 -38.89040857215697
-14.673455950655436 3.197534083951931 -16.772788556222004,-10.077168584301758 7.242805429913972 -8.264056446526546,-12.802016146919984 6.076487215762446 -14.722831410455141,23.691775365508462 -9.919132770139399 21.055569920834394,25.17734239899065 3.6761535080595293 8.018291527810767,-4.402523718247395 61.302743793740085 -38.01771224134765,29.295967641495135 103.93965618886749 36.91982809530759,23.474658813944743 15.674978565018781 9.915434101860455,-3.2137516434186915 -60.23943859152533 42.117638083015414,28.791267869332145 -107.65826749047235 -38.82854627284197
-14.86770232146276 5.175723817456176 -16.80487773284598,-9.640328165708258 8.188793889740847 -8.218703826984418,-12.780837209749578 5.985140093884317 -15.159671814637775,23.482126061010987 -10.479409525663977 22.036642542667643,24.527215975850176 3.503727760267997 8.629697002430166,-4.249137536944818 61.436234832281734 -37.444172066923024,29.33832533810195 103.3539220238124 36.62696101518186,22.68355401370078 15.472602929623154 10.59914713186903,-3.999722183671237 -57.53453651281102 42.059235805302045,28.713826015522585 -108.27266802733212 -39.120771595067986
