-24.1 -3.4 -8.8,-13.2 -5.3 1.9,-13.6 1.9 -9.2,27.9 -2.6 17.4,29.0 -1.0 1.8,-9.2 75.5 -37.1,27.9 113.4 41.5,28.7 10.7 1.2,-3.6 -61.5 37.9,28.5 -109.8 -39.8
-20.92573822675627 -0.718506049626188 -7.592827251524118,-9.272655356311523 -1.9958469865752884 1.2198830195753136,-9.16237511305987 2.804552361396311 -5.115859942868043,19.600282819633485 -2.268189572251559 15.56709476232388,28.255278973655575 -1.0328822003217473 3.7847889733961875,-5.258685431470578 72.98089177922601 -39.84946497230108,28.874309242937613 107.74813580191186 38.75187159931578,27.6021484213816 10.398008024782502 2.8538507721408464,-4.719133732398323 -60.68177585914476 40.1291258321843,29.175664964863184 -105.18490679787601 -37.547026973965494
-20.613578477814904 0.541592155240158 -8.255130049026139,-8.602853532755194 -1.0739464819182096 0.7902654075647532,-8.591412801637395 3.0635212059398595 -4.604058341605162,18.65018129689661 -2.113374022076066 15.750430614011387,27.92983123378849 -0.6419861950523194 4.684794876533296,-3.872450454333022 72.56678703428977 -40.4736112774088,29.19215676824783 105.1995740782514 37.53908524411479,27.137217665488247 10.735751417464426 3.641845092297398,-4.448646860742143 -58.61685309220691 41.44619452527694,29.276543703090212 -104.0437067568808 -36.97286809367907
-20.42721179495038 1.996138185667345 -9.063333250838689,-8.160307912249438 0.06584305771963701 0.15865368487601175,-7.8750433294350675 3.3260426838199897 -4.358869904800252,17.64501655893338 -2.1088474163917934 16.072409508235253,27.864167795900176 -0.2206940454390692 5.622373644605324,-2.9208241152628798 71.67885966866035 -40.83588948387837,29.415035213481275 103.00508011238459 36.497926193929864,26.909663506545876 11.185761277274477 4.667663782650944,-3.708032897592915 -56.71270644956884 43.21638154440356,29.438130265292806 -102.28530403252412 -36.1114885431444
-20.377954648265685 3.449747060797507 -9.784189221308695,-7.83018486638531 1.2459957516121558 -0.48094171124401786,-7.469240059810569 3.6426117185864215 -4.346201061411028,17.187470920404422 -2.3281816184342903 16.242423240462355,27.896654131412273 0.16627759976354717 6.541383941927172,-2.1883939466478854 70.56425147270319 -40.88355320342919,29.55943846179627 101.26229174205989 35.66929547649899,26.7686519438196 11.63886249124893 5.766696470939962,-2.928860736105082 -54.55596578970406 44.5698924663752,29.573011296521095 -100.86227654509788 -35.423528650672715
-20.48039554209906 4.710995857519863 -10.19914253612896,-7.50593067850264 2.288578237877349 -0.9386391706000443,-7.807529334336576 4.058025914200446 -4.531217320486248,17.85085834380294 -2.834386919370704 15.986248373406568,27.87123168503089 0.4580663918329577 7.385057564899194,-1.4677685217562517 69.47220341649185 -40.57259477721697,29.642691483555826 100.05912645387986 35.08980188850125,26.569513795132405 11.990636537156831 6.77655814751582,-2.518027115271257 -51.7570739372317 44.6886129445416,29.597611825038918 -100.68208893570274 -35.34751835624546
-20.802825315015838 5.67824288288029 -10.348607004901327,-7.249135214919951 3.0480412786008126 -1.1263622670670836,-8.877868233009313 4.518686155903326 -4.890590373806249,19.633312499750414 -3.52740484563671 15.32997568588512,27.772990081450825 0.6582963279352164 8.086460963173584,-0.7607173780345289 68.60694160804105 -39.984208454664945,29.682511338625396 99.37658987724923 34.751371236439944,26.316004677084347 12.228949039693273 7.603304684374674,-2.3871390512133557 -48.432089811975835 43.726867736647975,29.508673129787795 -101.73991619533818 -35.877808586395055
-21.456004840449328 6.320849167179059 -10.477800056141733,-7.2543632663180695 3.4044463452323854 -1.0365463395939143,-10.315839170038245 4.893177119732827 -5.410091480029423,22.078090610707722 -4.178215376210225 14.537196903607342,27.698644784577464 0.8215898841258683 8.570621408272718,-0.23442322480564529 68.13709253406908 -39.298603350866244,29.69692516752295 99.11113730743281 34.61059216358178,26.129260697646178 12.414647757274654 8.207117843414517,-2.056107889784928 -45.09693452787572 42.608026806109564,29.366453914339573 -103.30945679434389 -36.65747506778985
-22.539202008082842 6.609636817209343 -10.822011543135565,-7.708619347643845 3.247210635980812 -0.6690846531140774,-11.754364438910661 5.0552093786203995 -6.070790983134014,24.71832329243725 -4.563933962270425 13.870822465970404,27.744772068744037 1.0005641054007963 8.765895558954952,-0.0522364592689226 68.22172218397804 -38.69328574034221,29.70282065626919 99.16272511760756 34.62563634281779,26.129152354145933 12.607467076763466 8.55184083538239,-1.0695496154760238 -42.28628424341051 42.232013819384036,29.231587225393355 -104.66441944076209 -37.32970369442047
-23.9071874798895 6.506193424826885 -11.316620793453204,-8.582645888448823 2.6330231646093276 -0.12549889384734944,-12.960909596578638 5.018607602921 -6.758118763338533,27.131494619027716 -4.648287945599248 13.455269793014429,27.946354145276224 1.182172207246868 8.669218107194343,-0.21616562051644936 68.85393892484537 -38.24128357923357,29.69490348262052 99.54357996693567 34.803912552990546,26.34915285142251 12.807114701415717 8.643507328315982,0.3438409404302488 -40.686225027688586 42.63986377559048,29.138421933372342 -105.45943035426828 -37.725175420928814
-25.193585134480564 5.963753999351238 -11.625739240630445,-9.651577110387029 1.7698696458843661 0.40076674359618325,-13.824634054018297 4.923929114476305 -7.270998276564631,28.935206193636386 -4.56379439099669 13.289689912044878,28.282661637127635 1.2939747289429626 8.339552306993928,-0.5822861698864128 69.87674310536653 -37.92112459454828,29.647815784872904 100.36747654784448 35.19736434213086,26.744589382173547 12.959004434635139 8.52631209336967,1.3366223131980985 -41.11979262003901 43.09575024344741,29.09753297436456 -105.69365414956555 -37.84415974881924
