-24.6 -17.5 -2.0,-18.5 -8.3 -8.1,-26.8 3.9 10.7,52.4 4.6 7.5,4.5 -0.9 -0.4,-8.5 -8.5 -55.4,25.3 54.9 13.3,4.9 9.8 -3.8,7.1 2.8 49.7,24.7 -52.9 -12.4
-16.792858919683077 -8.303346022612287 -0.9362073060819948,-12.712699989080397 -1.9140137034434879 1.7219163723636335,-21.26858377364409 2.113697992144079 2.433694952557135,32.02408330870912 0.20861144819442762 2.803384094574589,3.5396023148884943 -4.130252350350288 -1.2023987023166056,-5.168679448025506 -26.70220690656407 -48.73917914750597,25.31015927070038 54.87102453599435 13.248206559203954,3.737928709479495 7.587104294129983 -1.1047975899294034,15.598138669618923 27.0225855251116 51.248371111206765,28.006031759575144 -67.14066488780799 -18.813112935501206
-19.01100376596577 -9.38100822494953 -2.4433895829324666,-13.11263987350689 -4.214401244750734 0.23638469662719808,-21.22039533543046 2.038957967190714 4.830208220285122,32.13938714823356 2.0684715124294426 4.226231720105344,4.08283907487171 -3.246163093430036 -1.3691863775710378,-3.41946798821545 -29.491676528317647 -49.54644070608541,25.333833187338456 54.94904087445588 13.281746223334107,4.314379843261503 8.400121267024543 -1.4508302703517322,14.935799956485498 30.212513034366214 52.09246693421254,28.32927048261761 -69.19092102570457 -19.784231236586614
-20.48491458666396 -11.52434364934874 -2.986470744412644,-13.61191147443096 -6.816020723022365 -0.8481752015489101,-20.766534256470244 2.130501458560147 7.8332183655563625,32.65007005303343 4.109113358476613 5.247574608338844,4.010109102252426 -2.4668640314765606 -1.5329336946832774,-2.823511147461322 -27.992549524086733 -50.05110572761504,25.13343897421565 54.277068461152474 13.009203069742707,4.33558447527608 8.97933620825923 -2.33501999580558,14.577645801441319 29.44276246461808 52.976327611819606,28.66834942206822 -71.32952259795212 -20.806232578053752
-20.56676168255993 -14.432326979778322 -2.1642782146619037,-14.17869248669033 -9.011067482713827 -1.0664305438690613,-19.896523219602727 2.3408282938955063 10.79033067388753,33.587125684391204 5.903520173960596 5.552791550974377,3.1225441397501013 -2.0230523077611013 -1.6730412976195328,-3.8355831926422135 -21.231208574647383 -49.936759928311986,24.65360200211074 52.66842975084527 12.352708514518755,3.601834534036556 9.097200840281175 -3.7422900576707363,14.787547655238654 23.10976455164616 53.70092517606575,28.962242644623068 -73.1661165417006 -21.693430582583648
-19.826370552583203 -17.199382631958727 -0.8712611939254586,-14.638312132497685 -10.463469563780997 -0.8685635955710435,-18.928210960018397 2.5990157991465583 13.068875465877527,34.42148848698189 7.188781542218347 5.497860084548354,1.9500698472585718 -1.810208291644136 -1.740004239280875,-5.479635588644325 -13.21135242946342 -49.483026132067714,24.056125208268455 50.65495624351621 11.531575645669296,2.5794076399957975 8.977211715262069 -5.148804938839739,15.178571742502848 14.369016326831304 53.99516259308639,29.12668912713084 -74.18097807568289 -22.187524770703988
-18.995227551459735 -18.840660599422943 -0.17319773698309238,-14.797437018576893 -10.887391441822423 -0.8259697407361991,-18.22275968058289 2.8310145757460137 14.039711603387929,34.55027473147871 7.72431346400723 5.5275996078800995,1.1189653835492668 -1.6792887423742258 -1.6806368201537303,-6.590285285985472 -8.593731187562176 -49.04848252659752,23.531616017627343 48.86379829368285 10.80454003634128,1.8226746295360514 8.902658021209591 -5.963744270547463,15.27754522036907 7.005823166595518 53.578777947954244,29.07451572006456 -73.83827649985368 -22.0210970142646
-18.637459402056834 -18.86731756942718 -0.6723142234613793,-14.608786600246743 -10.315177598660844 -1.2444825337463257,-17.980690135220378 2.9588664240391926 13.451155069921027,33.67221259814291 7.4722048155952 5.915449689186204,0.9864592158377122 -1.5194395422348348 -1.5112788833832498,-6.460956957942187 -9.784879798963434 -48.83584397605473,23.22875998613604 47.792709348672204 10.375884462836074,1.658346517535479 9.057264327413055 -5.900238947422858,14.769477090981967 3.3053340360393855 52.3499442894952,28.7938925310918 -72.06708735910387 -21.155214242353374
-18.89165981174698 -18.05166993507516 -1.7921983136322,-14.396438159047 -9.588185394642991 -1.7547110143418174,-17.994071891494585 2.894674523598841 12.011254285098362,32.25291666612839 6.90986587374086 6.499095017795053,1.2256844244935947 -1.3169072453002182 -1.4250477512049555,-5.551651898625502 -13.459706301761482 -48.65152314588577,23.189651019604227 47.610434865646646 10.311438583540628,1.8342804502556815 9.371599576746483 -5.444254365695255,13.74157368899605 1.738360629477858 50.660528113110445,28.46455942144093 -69.97856908254741 -20.13189551882442
-19.82971045169218 -17.363266579678307 -2.7720462323533424,-14.542515497162972 -9.674113797199064 -1.8816892195391253,-17.991145935180374 2.5490339490633938 10.578137794078689,30.878067618366625 6.595222787038385 7.048007080301211,1.4027859452894007 -1.073161145038353 -1.6426670302790571,-4.5049375604799025 -15.396797239435323 -48.239969581615696,23.439653882340863 48.43406304946579 10.655296066835776,2.007797737109587 9.736600623295033 -5.20260299807753,12.344016416334933 0.1790078492308104 48.933321888443444,28.296183498442446 -68.86854950733682 -19.58392067017176
-21.426197215530483 -17.461732280867114 -3.0609723945448772,-15.300674038157672 -11.11927938382776 -1.3451268732347275,-17.861216900810902 1.892183772713683 9.758952429919077,30.10946670186969 6.866531706229142 7.357518911302061,1.2487815060068561 -0.8118565454230535 -2.2920016014046087,-3.8321020421784198 -12.840695533018812 -47.46097029777497,23.956900846751143 50.209213000354815 11.382378573532248,1.967316854110265 10.054477783663339 -5.571940634345241,10.72165795085001 -2.788394163309299 47.446135907690966,28.41135044504723 -69.4993179683458 -19.88463774185732
-23.368765033303102 -18.092675568197343 -2.727173864609127,-16.54569520621094 -13.227274000423776 -0.43886374488096813,-17.9685921388773 1.0702628498613 9.420659416923854,30.43849085000282 7.414206476239418 7.299233427736064,0.9809253291037018 -0.6220788790002305 -3.227060963831254,-3.6572694232538643 -7.359286249230241 -46.51446113484965,24.58022793739832 52.37581373246323 12.263608341123481,1.8878829970150435 10.260688636369483 -6.329137060780734,9.0036357023827 -6.484946317752474 46.04920460354558,28.67582875790311 -71.05967257754097 -20.642288552419128
-25.29242156282316 -18.834035212722362 -1.952414001366434,-18.082858693872264 -15.073720508663015 0.4379403360707521,-18.76471485860448 0.26167759583500766 9.294438211263683,32.3435981583242 7.809818893845417 6.75874471221304,0.9056682523156929 -0.6049162685082018 -4.2516178012315375,-4.033541306639991 -1.313540721051947 -45.66277580822462,25.12291827616458 54.28102902213645 13.032485368587654,2.0154652744401647 10.296789732884838 -7.137366743973967,7.316204226998554 -9.847515796370853 44.51432666835557,28.908275653418194 -72.44976571011306 -21.32476164268573
-26.832174461903872 -19.26374998549555 -0.9184561636371293,-19.717444193691193 -15.734241770221495 0.8861255401690734,-20.70102826921736 -0.35516557403646665 9.111468269109213,36.30324672239203 7.6249407558233715 5.621646847342812,1.32946111337857 -0.861456836685276 -5.169444797278041,-5.014019295270548 2.9355697185339835 -45.16824803328475,25.398254984932144 55.27202264572 13.422509654902996,2.596032795001866 10.104337624680788 -7.659804150514935,5.785618080763053 -11.812969781436744 42.61330079446915,28.927348348000624 -72.56974974125302 -21.3999455534857
-27.623031388358434 -18.959758657570305 0.19293628975847033,-21.254731398217274 -14.284460646775152 0.5065320379626108,-24.22897557994093 -0.6018602444243849 8.602929046631097,42.795894637764626 6.431143858949481 3.7735339157351744,2.558754750028102 -1.492788706269777 -5.784314635643345,-6.651804992079317 3.0270737365453595 -45.29321152541492,25.219521185583215 54.69595837955934 13.167181199047706,3.87555466731641 9.624888863228712 -7.559623746993617,4.538131819741688 -11.318175455222375 40.11792567423452,28.55170405805852 -70.3197770461517 -20.3357288256476
-27.3 -17.5 1.2,-22.5 -9.8 -1.1,-29.8 -0.3 7.5,52.3 3.8 1.1,4.9 -2.6 -5.9,-9.0 -3.4 -46.3,24.4 51.9 12.0,6.1 8.8 -6.5,3.7 -7.3 36.8,27.6 -64.6 -17.6
