-24.6 -17.5 -2.0,-18.5 -8.3 -8.1,-26.8 3.9 10.7,52.4 4.6 7.5,4.5 -0.9 -0.4,-8.5 -8.5 -55.4,25.3 54.9 13.3,4.9 9.8 -3.8,7.1 2.8 49.7,24.7 -52.9 -12.4
-20.622754635389008 -17.844642829778625 -2.0502092334509996,-13.685649794807139 -8.82634711244305 -4.733321022745763,-19.71343483174325 6.224154674198767 12.147874003001373,30.734265280593245 3.7638636696188805 6.410979481596938,1.8127846610259 -1.1624958625773578 1.19432750961373,-4.8143284127740635 -30.929663082003934 -49.10628344850671,23.08692060446573 47.48178500259101 10.315005788577645,1.948962943730803 9.72987191750941 -2.009938801676379,16.0811870824227 16.86124430445378 49.77309270470691,22.862590707019905 -46.8746006057432 -10.063312184613427
-20.298239090329268 -16.07542699868975 -1.6544058524439351,-14.21086746758198 -6.873985919794146 -5.142684047774249,-20.074012267146724 5.955773380399576 11.84429185477554,32.14939830320998 3.5043465333002692 6.533901909414906,2.7052525991566916 -1.702363364324163 1.3165931254934462,-5.923506671108789 -25.617389596491517 -49.88432416943642,22.986288227924994 47.15201270733285 10.175676841923355,2.755362473699353 9.243904410938885 -1.4693661449654343,13.268870269203857 12.576009571893504 49.33614360888629,22.302946923342557 -44.988696169954636 -9.266954525558344
-20.071670478880723 -13.977184225579684 -0.7840757077218741,-15.763251585754297 -4.742788217657069 -5.426056134505399,-21.799967132887083 5.2816913232306595 11.808040636563845,36.71094134846655 3.1488482113763263 6.425821216547419,3.6756958283152548 -2.5033393541689257 1.0510542959204798,-7.018219182954023 -18.957742257961012 -51.194373707506095,23.260294136473146 48.040358611344494 10.522450060277682,3.6819983850838307 8.561824647510797 -1.08979517393556,9.851029771188612 7.600410068051468 48.39891469974782,22.267417338093775 -44.807754481143974 -9.152270274627437
-20.036704933019017 -12.450058716968 -0.08524438088656672,-17.36175345887617 -3.3462817074814204 -5.680745628724392,-23.364686344505575 4.6456189581232525 11.87852243970358,41.219677195515835 3.0155590797207243 6.40676706896158,4.322325020046528 -3.1122323468958464 0.6987620296160435,-7.8720558816558 -12.98039741790909 -52.59932407670313,23.762628416274715 49.70116654443333 11.181055291945295,4.318648647998354 8.062759522568257 -0.9085013742476942,6.809345691597501 3.5329621043090045 47.41273996940824,22.70061114257189 -46.20396760645973 -9.694523541636858
-20.278526198386324 -12.337588955210375 -0.16810161995204875,-18.066469309907262 -3.5317991745495974 -5.999230203807702,-23.304777393539606 4.4679785945965955 11.902948642069555,42.606959369671955 3.409913897177652 6.781342627235369,4.270008697730088 -3.1020173277009446 0.5487673256171751,-8.272259730288345 -9.60077806301485 -53.67510142350162,24.346870245709916 51.686335518541696 11.97627410337651,4.281501174381708 8.102863199327253 -0.9583251142639665,5.078893471977748 1.8585819736781608 46.81759383555782,23.534111784393595 -49.00264837748394 -10.848176004226053
-20.720392359490525 -13.46465756431519 -0.970380930410893,-17.771964504435385 -4.994638844614037 -6.368653947912107,-21.489138367238848 4.724822369550262 11.91657177450311,40.549785006241216 4.378834635751522 7.552232281314635,3.5962244949845905 -2.5299712229947113 0.6430047786586032,-8.22193234758764 -8.769599756058483 -54.30654073436452,24.91592038822152 53.67106280060484 12.782292347018618,3.639231477399827 8.618014886742408 -1.2127725170401824,4.764244071615436 2.1907042467816367 46.802154606964294,24.567004855240807 -52.520560179037965 -12.32916887390438
-21.15750396715187 -14.850551835329881 -1.8980095103000305,-17.03273724139189 -6.519022197574285 -6.692858778042388,-18.84029805379931 5.040776043413302 12.1033551164199,36.89652016759062 5.7648006258202225 8.483350525933337,2.736392115732763 -1.8363770356650178 0.8279790741757418,-7.89488533658453 -8.883805882144175 -54.622774927942686,25.41168516385421 55.428055035205574 13.512366835252337,2.8183610461527517 9.211722916068169 -1.5984257217254678,5.313171034427919 2.6627180707321654 47.356365199200205,25.493591142885677 -55.67228438566641 -13.6648114775702
-21.390789705009166 -15.536714474978092 -2.366101912230472,-16.405644873414644 -6.928090202695171 -6.874293368342924,-16.29369024376941 5.045641420772506 12.637744957246825,33.50867398327766 7.397764989541949 9.33434166169982,2.119077570142264 -1.4538316989843727 0.9465974179353325,-7.464908680448772 -8.385228705504677 -54.75184142370113,25.77800613380405 56.73585223400267 14.081221923588123,2.239389172851325 9.495385996864409 -2.0438547676457075,6.161657368717724 1.4640281520067862 48.44609516927015,26.016237754150023 -57.4011445362154 -14.394603039872452
-21.39944183412376 -15.417819690211527 -2.2479372179172024,-16.14488875639583 -6.277819871087277 -6.832442058273274,-14.47812418473675 4.654686196450949 13.431810989192545,31.355906239136917 8.973512618528215 9.908332124036976,1.851524422723357 -1.464299034533426 0.8753781241438776,-7.015291752637262 -7.403034004127171 -54.67169379520439,25.975537670318165 57.43426092056049 14.411322648983624,2.0176109380279517 9.408263982565998 -2.5408046722390165,6.8644391401545 -1.352524855062299 49.676901466617494,26.04847667685884 -57.418096199549005 -14.393135814680821
-21.32389132205195 -15.160286232922648 -1.831202528383943,-16.23091908441554 -5.739283577600664 -6.502197879743893,-13.745068427992877 4.04138084317854 14.160304301520123,30.60120248810947 10.06647376616977 10.04777776873784,1.7503413463574442 -1.6325965898142696 0.5212406227436037,-6.547466480133074 -7.592574100198913 -54.22453536614178,25.98014126728695 57.4185029381287 14.432135464400728,1.9922654099923123 9.186165845124808 -3.1381619728262535,7.083664088957674 -4.0486297911049105 50.32843970056346,25.694837705357106 -56.12841510445253 -13.838092386308338
-21.304778655161424 -15.433969177829963 -1.4124817492945205,-16.62612363974215 -6.476513639804052 -5.8242768762985895,-14.40959058630227 3.3868537538616676 14.498428829943398,31.349167145639303 10.264007098644672 9.608130420254215,1.6272887530551527 -1.7194578479123481 -0.19953911290199602,-6.059064368475994 -10.590522123492459 -53.25870229589151,25.770784440805706 56.59636627691705 14.078953159147915,1.996616006249526 9.068604142194014 -3.880553448819034,6.506133284333985 -4.892246505276007 49.7044596664415,25.068862792692194 -53.96770327965588 -12.920100754900256
-21.34584805437488 -16.312979928245973 -1.1408428571998581,-17.09245270991176 -8.499270199664108 -4.868173292238837,-16.141176427519152 2.8320162029345113 14.341487807825493,32.987726143849564 9.576409446721415 8.727901888719286,1.4315954997371951 -1.6651174657685115 -1.1687309803027908,-5.526910930261477 -16.23266031656607 -51.89202293053451,25.388970575685097 55.13402306206039 13.423333083740124,1.9609932703424005 9.124430890085105 -4.65814134276794,5.3267186326296345 -3.789190127638678 47.98477289859798,24.33617644234255 -51.501369920368894 -11.879293887996996
-21.309291356215386 -17.255423768511466 -1.0128205843364517,-17.184601803009677 -10.623782091544086 -3.8365395797739925,-17.941772329908925 2.476194480793023 13.812369788594026,34.16375124634984 8.45130078841989 7.838291412744093,1.2546344681702155 -1.595416472266387 -2.0592818793193284,-4.9063180312261805 -22.492628092149424 -50.52098377735743,24.940865896867972 53.46481772080698 12.677731783314185,1.9160963211929762 9.246033053478559 -5.20136970895315,4.265643394424 -2.3388378409562973 46.25504930257324,23.716257141130647 -49.42904639263766 -11.006993484633114
-21.052298495991632 -17.69802196112301 -1.0176661475483058,-16.462302914865397 -11.634801417446246 -2.9386465381543068,-18.80771274650362 2.414547159685329 13.044530463988291,33.53222082169156 7.347620287615282 7.3749987508093495,1.1946273553767548 -1.6420946746687415 -2.539270412406981,-4.157111034497653 -27.28382029992035 -49.5499133514054,24.53366026946994 52.02607243614611 12.056877462984897,1.8986311257007185 9.319035011506163 -5.238603419169216,4.043048154767896 -2.1764508024823983 45.60886426987681,23.423540024621058 -48.43280573402576 -10.587129364193691
